County,equitable_share_2020_21,equitable_share_2021_22_plus,conditional_grant_2020_21,conditional_grant_2021_22_plus,annual_own_source_revenue_2020_21,annual_own_source_revenue_2021_22_plus,total_revenue_2020_21,total_revenue_2021_22_plus
Baringo,"5,095.65","6,369.39",752.87,681.62,205.2,258.55,"6,053.72","7,309.56"
Bomet,"5,507.10","6,691.10",832.35,806.48,183.01,300,"6,522.46","7,797.58"
Bungoma,"8,893.65","10,659.44",876.59,696.07,395.12,500,"10,165.36","11,855.51"
Busia,"6,013.50","7,172.16",845.88,600.43,322.56,499.8,"7,181.93","8,272.39"
Elgeyo Marakwet,"3,861.30","4,606.53",735.21,855.35,69.08,166.1,"4,665.58","5,627.98"
Embu,"4,304.40","5,125.24",998.06,607.12,375.33,900,"5,677.78","6,632.36"
Garissa,"7,026.30","7,927.21","1,651.83","1,241.03",103.53,150,"8,781.65","9,318.24"
Homa Bay,"6,741.45","7,805.35",704.95,607.76,120.41,143.81,"7,566.81","8,556.93"
Isiolo,"4,241.10","4,710.39",942.48,813.49,57.18,113.69,"5,240.76","5,637.57"
Kajiado,"6,424.95","7,954.77",927.74,729.5,862.29,"1,605.36","8,214.97","10,289.63"
Kakamega,"10,412.85","12,389.41","1,499.98",844.39,"1,118.24","2,113.00","13,031.06","15,346.80"
Kericho,"5,380.50","6,430.66",780.03,722.35,595.98,494.05,"6,756.51","7,647.07"
Kiambu,"9,431.70","11,717.53","1,418.16",742.54,"2,425.25","3,883.30","13,275.10","16,343.37"
Kilifi,"10,444.50","11,641.59","1,807.24","2,307.31",833.85,925,"13,085.59","14,873.90"
Kirinyaga,"4,241.10","5,196.18",592.59,726.94,346.52,485,"5,180.21","6,408.11"
Kisii,"7,785.90","8,894.27","1,244.00",728.94,403,700,"9,432.90","10,323.22"
Kisumu,"6,836.40","8,026.14","1,197.23",922.93,822.3,"1,984.00","8,855.93","10,933.07"
Kitui,"8,830.35","10,393.97",833.88,658.52,326.45,850,"9,990.68","11,902.49"
Kwale,"7,785.90","8,265.59","1,164.15","1,237.99",250.09,315,"9,200.14","9,818.58"
Laikipia,"4,177.80","5,136.27",715.83,748.11,840.4,"1,006.00","5,734.03","6,890.37"
Lamu,"2,595.30","3,105.65",770.2,579.12,108.43,120,"3,473.93","3,804.77"
Machakos,"7,754.25","9,162.30","1,248.05",717.13,"1,296.36","1,682.89","10,298.67","11,562.33"
Makueni,"7,406.10","8,132.78",825.71,753.51,527.53,475,"8,759.33","9,361.30"
Mandera,"10,222.95","11,190.38","1,158.45",760.72,143.31,200.04,"11,524.71","12,151.14"
Marsabit,"6,773.10","7,277.00",970.97,906.61,110.37,170,"7,854.44","8,353.62"
Meru,"8,039.10","9,493.86","1,157.90",931.64,435.93,575,"9,632.93","11,000.50"
Migori,"6,773.10","8,005.02",727.2,544.39,288.54,280,"7,788.84","8,829.41"
Mombasa,"7,057.95","7,567.35","2,076.40","1,467.20","3,314.53","4,966.33","12,448.88","14,000.88"
Murang’a,"6,298.35","7,180.16",865.83,608.23,627.16,"1,500.00","7,791.35","9,288.38"
Nairobi City,"15,919.95","19,249.68",869.61,"1,020.09","9,958.04","19,360.74","26,747.60","39,630.51"
Nakuru,"10,476.15","13,026.12","1,228.94",972.58,"1,628.82","1,712.13","13,333.91","15,710.83"
Nandi,"5,348.85","6,990.87",772.17,678.1,261.04,387.11,"6,382.06","8,056.07"
Narok,"8,039.10","8,844.79",785.35,799.26,618.99,"2,374.55","9,443.44","12,018.60"
Nyamira,"4,810.80","5,135.34",900.98,716.67,162.86,400,"5,874.65","6,252.01"
Nyandarua,"4,874.10","5,670.44",856.79,912.19,408.72,590,"6,139.61","7,172.63"
Nyeri,"5,412.15","6,228.73","1,167.74",833.56,886.89,"1,000.00","7,466.78","8,062.29"
Samburu,"4,620.90","5,371.35",602.39,624.24,70.38,100,"5,293.67","6,095.58"
Siaya,"5,791.95","6,966.51",855.19,693.45,332.88,445.45,"6,980.02","8,105.40"
Taita/Taveta,"4,241.10","4,842.17","1,120.24","1,532.98",302.01,376,"5,663.35","6,751.15"
Tana River,"5,855.25","6,528.41",919.77,696.86,83.08,79.86,"6,858.10","7,305.13"
Tharaka -Nithi,"3,924.60","4,214.20",855.91,829.59,254.75,350,"5,035.26","5,393.79"
Trans Nzoia,"5,760.30","7,186.16",733.14,724.98,340.45,529.5,"6,833.89","8,440.64"
Turkana,"10,539.45","12,609.31","1,295.35",939.55,209.83,180,"12,044.63","13,728.85"
Uasin Gishu,"6,330.00","8,068.86",877.39,762.15,"1,105.68","1,000.00","8,313.07","9,831.01"
Vihiga,"4,652.55","5,067.36",737.84,570.61,169.11,232.7,"5,559.50","5,870.67"
Wajir,"8,545.50","9,474.73","1,288.48","1,313.36",73.96,100,"9,907.93","10,888.09"
West Pokot,"5,000.70","6,297.28",813.58,713.25,68.87,170,"5,883.15","7,180.54"
Total3,"316,500.00","370,000.00","47,002.61","39,880.89","34,444.28","56,749.96","397,946.90","466,630.85"
