,0,1,place,population,land_area_km_sq,pop_density_per_km_sq
0,"Table 2. 4: Distribution of Population, Land Area and Population Density by County",,Table 2,,,
1,"National/ County
 Population","Land Area             
 Population Density",National/ Count,,,
2,,"(Sq. Km) 
(No. per Sq. Km)",,,,
3,"Kenya……………………
              
47,564,296","580,876.3
                                
82",Kenya,"47,564,296","580,876.3",82
4,County,,Count,,,
5,"Mombasa…………..…
                
1,208,333","219.9
                          
5,495",Mombasa,"1,208,333","5,495","5,495"
6,"Kwale……………..……
                   
866,820","8,267.1
                              
105",Kwale,"866,820","8,267.1",105
7,"Kilifi………………..……
                
1,453,787","12,539.7
                              
116",Kilifi,"1,453,787","12,539.7",116
8,"Tana River………….…
                   
315,943","37,950.5
                                  
8",Tana River,"315,943","37,950.5",8
9,"Lamu……………….….
                   
143,920","6,253.3
                                
23",Lamu,"143,920","6,253.3",23
10,"Taita/Taveta……..….…
                   
340,671","17,152.0
                                
20",Taita/Taveta,"340,671","17,152.0",20
11,"Garissa………………..
                   
841,353","44,736.0
                                
19",Garissa,"841,353","44,736.0",19
12,"Wajir……………….……
                   
781,263","56,773.1
                                
14",Wajir,"781,263","56,773.1",14
13,"Mandera…………....…
                   
867,457","25,939.8
                                
33",Mandera,"867,457","25,939.8",33
14,"Marsabit…….…........…
                   
459,785","70,944.1
                                  
6",Marsabit,"459,785","70,944.1",6
15,"Isiolo……….…….……
                   
268,002","25,350.6
                                
11",Isiolo,"268,002","25,350.6",11
16,"Meru……………………
                
1,545,714","7,006.3
                              
221",Meru,"1,545,714","7,006.3",221
17,"Tharaka-Nithi…………
                   
393,177","2,564.4
                              
153",Tharaka,"393,177","2,564.4",153
18,"Embu…………………..
                   
608,599","2,820.7
                              
216",Embu,"608,599","2,820.7",216
19,"Kitui…………………….
                
1,136,187","30,429.5
                                
37",Kitui,"1,136,187","30,429.5",37
20,"Machakos………….…..
                
1,421,932","6,042.7
                              
235",Machakos,"1,421,932","6,042.7",235
21,"Makueni……………….
                   
987,653","8,169.8
                              
121",Makueni,"987,653","8,169.8",121
22,"Nyandarua…………….
                   
638,289","3,285.7
                              
194",Nyandarua,"638,289","3,285.7",194
23,"Nyeri……………………
                   
759,164","3,325.0
                              
228",Nyeri,"759,164","3,325.0",228
24,"Kirinyaga………………
                   
610,411","1,478.3
                              
413",Kirinyaga,"610,411","1,478.3",413
25,"Murang'a……………….
                
1,056,640","2,524.2
                              
419",Murang,"1,056,640","2,524.2",419
26,"Kiambu………………..
                
2,417,735","2,538.6
                              
952",Kiambu,"2,417,735","2,538.6",952
27,"Turkana……………….
                   
926,976","68,232.9
                                
14",Turkana,"926,976","68,232.9",14
28,"West Pokot……………
                   
621,241","9,123.2
                                
68",West Pokot,"621,241","9,123.2",68
29,"Samburu………………
                   
310,327","21,065.1
                                
15",Samburu,"310,327","21,065.1",15
30,"Trans Nzoia…………..
                   
990,341","2,495.2
                              
397",Trans Nzoia,"990,341","2,495.2",397
31,"Uasin Gishu…………..
                
1,163,186","3,392.2
                              
343",Uasin Gishu,"1,163,186","3,392.2",343
32,"Elgeyo/Marakwet……..
                   
454,480","3,032.0
                              
150",Elgeyo/Marakwet,"454,480","3,032.0",150
33,"Nandi…………………..
                   
885,711","2,855.8
                              
310",Nandi,"885,711","2,855.8",310
34,"Baringo………………..
                   
666,763","10,976.4
                                
61",Baringo,"666,763","10,976.4",61
35,"Laikipia…………………………..
                   
518,560","9,532.2
                                
54",Laikipia,"518,560","9,532.2",54
36,"Nakuru……………………………2,162,202","7,462.4
                              
290",Nakuru,"2,162,202","7,462.4",290
37,"Narok…………………………….. 1,157,873","17,950.3
                                
65",Narok,"1,157,873","17,950.3",65
38,"Kajiado……………………………1,117,840","21,871.1
                                
51",Kajiado,"1,117,840","21,871.1",51
39,"Kericho………..………
                   
901,777","2,436.1
                              
370",Kericho,"901,777","2,436.1",370
40,"Bomet………………….
                   
875,689","2,530.9
                              
346",Bomet,"875,689","2,530.9",346
41,"Kakamega…………….
                
1,867,579","3,020.0
                              
618",Kakamega,"1,867,579","3,020.0",618
42,"Vihiga………………….
                   
590,013","563.8
                          
1,047",Vihiga,"590,013","1,047","1,047"
43,"Bungoma…………..…
                
1,670,570","3,023.9
                              
552",Bungoma,"1,670,570","3,023.9",552
44,"Busia…………...……..
                   
893,681","1,696.3
                              
527",Busia,"893,681","1,696.3",527
45,"Siaya…………….……..
                   
993,183","2,529.8
                              
393",Siaya,"993,183","2,529.8",393
46,"Kisumu………………..
                
1,155,574","2,085.4
                              
554",Kisumu,"1,155,574","2,085.4",554
47,"Homa Bay……………..
                
1,131,950","3,152.5
                              
359",Homa Bay,"1,131,950","3,152.5",359
48,"Migori…………………..
                
1,116,436","2,613.5
                              
427",Migori,"1,116,436","2,613.5",427
49,"Kisii……………………
                
1,266,860","1,323.0
                              
958",Kisii,"1,266,860","1,323.0",958
50,"Nyamira………………..
                   
605,576","897.3
                              
675",Nyamira,"605,576",,675
51,"Nairobi City……..…….
                
4,397,073","703.9
                          
6,247",Nairobi City,"4,397,073","6,247","6,247"
