,name,capital,code,sub_counties,sub_counties_lower
0,Baringo,Kabarnet,30,Baringo central,baringo central
0,Baringo,Kabarnet,30,Baringo north,baringo north
0,Baringo,Kabarnet,30,Baringo south,baringo south
0,Baringo,Kabarnet,30,Eldama ravine,eldama ravine
0,Baringo,Kabarnet,30,Mogotio,mogotio
0,Baringo,Kabarnet,30,Tiaty,tiaty
1,Bomet,Bomet,36,Bomet central,bomet central
1,Bomet,Bomet,36,Bomet east,bomet east
1,Bomet,Bomet,36,Chepalungu,chepalungu
1,Bomet,Bomet,36,Konoin,konoin
1,Bomet,Bomet,36,Sotik,sotik
2,Bungoma,Bungoma,39,Bumula,bumula
2,Bungoma,Bungoma,39,Kabuchai,kabuchai
2,Bungoma,Bungoma,39,Kanduyi,kanduyi
2,Bungoma,Bungoma,39,Kimilil,kimilil
2,Bungoma,Bungoma,39,Mt Elgon,mt elgon
2,Bungoma,Bungoma,39,Sirisia,sirisia
2,Bungoma,Bungoma,39,Tongaren,tongaren
2,Bungoma,Bungoma,39,Webuye east,webuye east
2,Bungoma,Bungoma,39,Webuye west,webuye west
3,Busia,Busia,40,Budalangi,budalangi
3,Busia,Busia,40,Butula,butula
3,Busia,Busia,40,Funyula,funyula
3,Busia,Busia,40,Nambele,nambele
3,Busia,Busia,40,Teso North,teso north
3,Busia,Busia,40,Teso South,teso south
4,Elgeyo-Marakwet,Iten,28,Keiyo north,keiyo north
4,Elgeyo-Marakwet,Iten,28,Keiyo south,keiyo south
4,Elgeyo-Marakwet,Iten,28,Marakwet east,marakwet east
4,Elgeyo-Marakwet,Iten,28,Marakwet west,marakwet west
5,Embu,Embu,14,Manyatta,manyatta
5,Embu,Embu,14,Mbeere north,mbeere north
5,Embu,Embu,14,Mbeere south,mbeere south
5,Embu,Embu,14,Runyenjes,runyenjes
6,Garissa,Garissa,7,Daadab,daadab
6,Garissa,Garissa,7,Fafi,fafi
6,Garissa,Garissa,7,Garissa,garissa
6,Garissa,Garissa,7,Hulugho,hulugho
6,Garissa,Garissa,7,Ijara,ijara
6,Garissa,Garissa,7,Lagdera balambala,lagdera balambala
7,Homa Bay,Homa Bay,43,Homabay town,homabay town
7,Homa Bay,Homa Bay,43,Kabondo,kabondo
7,Homa Bay,Homa Bay,43,Karachwonyo,karachwonyo
7,Homa Bay,Homa Bay,43,Kasipul,kasipul
7,Homa Bay,Homa Bay,43,Mbita,mbita
7,Homa Bay,Homa Bay,43,Ndhiwa,ndhiwa
7,Homa Bay,Homa Bay,43,Rangwe,rangwe
7,Homa Bay,Homa Bay,43,Suba,suba
8,Isiolo,Isiolo,11,Isiolo,isiolo
8,Isiolo,Isiolo,11,Garba tula,garba tula
8,Isiolo,Isiolo,11,Merit,merit
9,Kajiado,,34,Isinya.,isinya.
9,Kajiado,,34,Kajiado Central.,kajiado central.
9,Kajiado,,34,Kajiado North.,kajiado north.
9,Kajiado,,34,Loitokitok.,loitokitok.
9,Kajiado,,34,Mashuuru.,mashuuru.
10,Kakamega,Kakamega,37,Butere,butere
10,Kakamega,Kakamega,37,Kakamega central,kakamega central
10,Kakamega,Kakamega,37,Kakamega east,kakamega east
10,Kakamega,Kakamega,37,Kakamega north,kakamega north
10,Kakamega,Kakamega,37,Kakamega south,kakamega south
10,Kakamega,Kakamega,37,Khwisero,khwisero
10,Kakamega,Kakamega,37,Lugari,lugari
10,Kakamega,Kakamega,37,Lukuyani,lukuyani
10,Kakamega,Kakamega,37,Lurambi,lurambi
10,Kakamega,Kakamega,37,Matete,matete
10,Kakamega,Kakamega,37,Mumias,mumias
10,Kakamega,Kakamega,37,Mutungu,mutungu
10,Kakamega,Kakamega,37,Navakholo,navakholo
11,Kericho,Kericho,35,Ainamoi,ainamoi
11,Kericho,Kericho,35,Belgut,belgut
11,Kericho,Kericho,35,Bureti,bureti
11,Kericho,Kericho,35,Kipkelion east,kipkelion east
11,Kericho,Kericho,35,Kipkelion west,kipkelion west
11,Kericho,Kericho,35,Soin sigowet,soin sigowet
12,Kiambu,Kiambu,22,Gatundu north,gatundu north
12,Kiambu,Kiambu,22,Gatundu south,gatundu south
12,Kiambu,Kiambu,22,Githunguri,githunguri
12,Kiambu,Kiambu,22,Juja,juja
12,Kiambu,Kiambu,22,Kabete,kabete
12,Kiambu,Kiambu,22,Kiambaa,kiambaa
12,Kiambu,Kiambu,22,Kiambu,kiambu
12,Kiambu,Kiambu,22,Kikuyu,kikuyu
12,Kiambu,Kiambu,22,Limuru,limuru
12,Kiambu,Kiambu,22,Ruiru,ruiru
12,Kiambu,Kiambu,22,Thika town,thika town
12,Kiambu,Kiambu,22,lari,lari
13,Kilifi,Kilifi,3,Genzw,genzw
13,Kilifi,Kilifi,3,Kaloleni,kaloleni
13,Kilifi,Kilifi,3,Kilifi north,kilifi north
13,Kilifi,Kilifi,3,Kilifi south,kilifi south
13,Kilifi,Kilifi,3,Magarini,magarini
13,Kilifi,Kilifi,3,Malindi,malindi
13,Kilifi,Kilifi,3,Rabai,rabai
14,Kirinyaga,Kerugoya/Kutus,20,Kirinyaga central,kirinyaga central
14,Kirinyaga,Kerugoya/Kutus,20,Kirinyaga east,kirinyaga east
14,Kirinyaga,Kerugoya/Kutus,20,Kirinyaga west,kirinyaga west
14,Kirinyaga,Kerugoya/Kutus,20,Mwea east,mwea east
14,Kirinyaga,Kerugoya/Kutus,20,Mwea west,mwea west
15,Kisii,Kisii,45,,
16,Kisumu,Kisumu,42,Kisumu central,kisumu central
16,Kisumu,Kisumu,42,Kisumu east ,kisumu east 
16,Kisumu,Kisumu,42,Kisumu west,kisumu west
16,Kisumu,Kisumu,42,Mohoroni,mohoroni
16,Kisumu,Kisumu,42,Nyakach,nyakach
16,Kisumu,Kisumu,42,Nyando,nyando
16,Kisumu,Kisumu,42,Seme,seme
17,Kitui,Kitui,15,Ikutha,ikutha
17,Kitui,Kitui,15,Katulani,katulani
17,Kitui,Kitui,15,Kisasi,kisasi
17,Kitui,Kitui,15,Kitui central,kitui central
17,Kitui,Kitui,15,Kitui west ,kitui west 
17,Kitui,Kitui,15,Lower yatta,lower yatta
17,Kitui,Kitui,15,Matiyani,matiyani
17,Kitui,Kitui,15,Migwani,migwani
17,Kitui,Kitui,15,Mutitu,mutitu
17,Kitui,Kitui,15,Mutomo,mutomo
17,Kitui,Kitui,15,Muumonikyusu,muumonikyusu
17,Kitui,Kitui,15,Mwingi central,mwingi central
17,Kitui,Kitui,15,Mwingi east,mwingi east
17,Kitui,Kitui,15,Nzambani,nzambani
17,Kitui,Kitui,15,Tseikuru,tseikuru
18,Kwale,Kwale,2,Kinango,kinango
18,Kwale,Kwale,2,Lungalunga,lungalunga
18,Kwale,Kwale,2,Msambweni,msambweni
18,Kwale,Kwale,2,Mutuga,mutuga
19,Laikipia,Rumuruti,31,Laikipia central,laikipia central
19,Laikipia,Rumuruti,31,Laikipia east,laikipia east
19,Laikipia,Rumuruti,31,Laikipia north,laikipia north
