,County,Total_Population,Male_Population,Female_Population,Total_currently_attending_title,Male_currently_attending_title,Female_currently_attending_title,Total_currently_attending_County_Sub_County,Male_currently_attending_County_Sub_County,Female_currently_attending_County_Sub_County,Total_currently_attending_County_Sub_County_original,Male_currently_attending_County_Sub_County_original,Female_currently_attending_County_Sub_County_original,Total_currently_attending_Total_astrsk,Male_currently_attending_Total_astrsk,Female_currently_attending_Total_astrsk,Total_currently_attending_Pre_Primary,Male_currently_attending_Pre_Primary,Female_currently_attending_Pre_Primary,Total_currently_attending_Primary,Male_currently_attending_Primary,Female_currently_attending_Primary,Total_currently_attending_Secondary,Male_currently_attending_Secondary,Female_currently_attending_Secondary,Total_currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,Male_currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,Female_currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,Total_currently_attending_University,Male_currently_attending_University,Female_currently_attending_University,Total_currently_attending_Adult_Basic_Education,Male_currently_attending_Adult_Basic_Education,Female_currently_attending_Adult_Basic_Education,Total_currently_attending_Madrasa_slash_Duksi,Male_currently_attending_Madrasa_slash_Duksi,Female_currently_attending_Madrasa_slash_Duksi,Total_currently_attending_Dont_Know,Male_currently_attending_Dont_Know,Female_currently_attending_Dont_Know,Total_currently_attending_Not_Stated,Male_currently_attending_Not_Stated,Female_currently_attending_Not_Stated,Total_highest_edu_title,Male_highest_edu_title,Female_highest_edu_title,Total_highest_edu_County_slash_Sub_County,Male_highest_edu_County_slash_Sub_County,Female_highest_edu_County_slash_Sub_County,Total_highest_edu_Total_astrsk,Male_highest_edu_Total_astrsk,Female_highest_edu_Total_astrsk,Total_highest_edu_Pre_Primary,Male_highest_edu_Pre_Primary,Female_highest_edu_Pre_Primary,Total_highest_edu_Primary,Male_highest_edu_Primary,Female_highest_edu_Primary,Total_highest_edu_Secondary,Male_highest_edu_Secondary,Female_highest_edu_Secondary,Total_highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,Male_highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,Female_highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,Total_highest_edu_University,Male_highest_edu_University,Female_highest_edu_University,Total_highest_edu_Adult_Basic_Education,Male_highest_edu_Adult_Basic_Education,Female_highest_edu_Adult_Basic_Education,Total_highest_edu_Madrasa_slash_Duksi,Male_highest_edu_Madrasa_slash_Duksi,Female_highest_edu_Madrasa_slash_Duksi,Total_highest_edu_None,Male_highest_edu_None,Female_highest_edu_None,Total_highest_edu_Dont_Know,Male_highest_edu_Dont_Know,Female_highest_edu_Dont_Know,Total_highest_edu_Not_Stated,Male_highest_edu_Not_Stated,Female_highest_edu_Not_Stated
0,MOMBASA,"378,423","189,490","188,930",MOMBASA,MOMBASA,MOMBASA,Total,Male,Female,MOMBASA,Male,Female,"378,423","189,490","188,930","84,970","42,759","42,211","196,845","97,844","98,999","65,116","32,911","32,205","16,412","7,808","8,604","11,474","6,370","5,103",506,250,256,"2,147","1,048","1,099",953,500,453,-,-,-,MOMBASA,MOMBASA,MOMBASA,MOMBASA,Male,Female,"990,259","507,180","483,066","55,316","27,062","28,254","415,805","204,322","211,476","281,897","153,058","128,837","101,951","51,168","50,782","39,864","23,574","16,287",419,203,216,78,36,42,"88,138","44,263","43,875","5,034","2,546","2,488","1,757",948,809
1,CHANGAMWE,"39,032","19,482","19,550",CHANGAMWE,CHANGAMWE,CHANGAMWE,Total,Male,Female,CHANGAMWE,Male,Female,"39,032","19,482","19,550","8,735","4,380","4,355","20,347","10,172","10,175","6,754","3,270","3,484","1,848",879,969,"1,181",691,490,36,19,17,41,22,19,90,49,41,-,-,-,CHANGAMWE,CHANGAMWE,CHANGAMWE,CHANGAMWE,Male,Female,"113,346","59,561","53,785","3,983","2,038","1,945","46,496","23,169","23,327","36,952","20,311","16,641","13,007","7,084","5,923","3,434","2,158","1,276",21,12,9,3,2,1,"8,913","4,474","4,439",367,211,156,170,102,68
2,JOMVU,"51,892","26,020","25,872",JOMVU,JOMVU,JOMVU,Total,Male,Female,JOMVU,Male,Female,"51,892","26,020","25,872","12,428","6,263","6,165","28,677","14,249","14,428","8,180","4,173","4,007","1,541",750,791,909,503,406,53,32,21,21,7,14,83,43,40,-,-,-,JOMVU,JOMVU,JOMVU,JOMVU,Male,Female,"135,585","70,085","65,497","8,507","4,168","4,339","59,788","29,621","30,165","38,086","20,714","17,372","12,322","6,540","5,781","3,483","2,240","1,243",48,30,18,3,1,2,"12,923","6,515","6,408",300,184,116,125,72,53
3,KISAUNI,"95,844","48,136","47,707",KISAUNI,KISAUNI,KISAUNI,Total,Male,Female,KISAUNI,Male,Female,"95,844","48,136","47,707","22,174","11,256","10,918","51,183","25,552","25,631","15,499","7,820","7,679","3,884","1,827","2,057","2,611","1,443","1,167",109,53,56,122,57,65,262,128,134,-,-,-,KISAUNI,KISAUNI,KISAUNI,KISAUNI,Male,Female,"236,303","120,288","116,013","13,434","6,613","6,821","103,042","50,944","52,097","61,686","32,834","28,852","25,238","12,401","12,837","8,489","5,102","3,386",90,41,49,12,5,7,"22,877","11,591","11,286",941,491,450,494,266,228
4,LIKONI,"79,083","39,336","39,746",LIKONI,LIKONI,LIKONI,Total,Male,Female,LIKONI,Male,Female,"79,083","39,336","39,746","19,570","9,788","9,782","41,167","20,087","21,079","13,724","7,043","6,681","2,941","1,445","1,496","1,207",729,478,150,71,79,131,74,57,193,99,94,-,-,-,LIKONI,LIKONI,LIKONI,LIKONI,Male,Female,"203,522","105,103","98,417","13,600","6,503","7,097","90,935","44,530","46,404","58,372","32,698","25,673","15,612","8,323","7,289","3,843","2,498","1,345",137,66,71,20,10,10,"20,164","10,041","10,123",547,293,254,292,141,151
5,MVITA,"46,714","23,515","23,198",MVITA,MVITA,MVITA,Total,Male,Female,MVITA,Male,Female,"46,714","23,515","23,198","7,850","3,922","3,928","22,009","11,064","10,944","9,265","4,775","4,490","2,935","1,381","1,554","2,764","1,450","1,314",84,41,43,"1,666",806,860,141,76,65,-,-,-,MVITA,MVITA,MVITA,MVITA,Male,Female,"119,741","59,338","60,402","4,434","2,107","2,327","44,619","20,928","23,690","35,004","18,646","16,358","14,936","6,850","8,086","9,442","5,258","4,184",66,30,36,32,13,19,"8,712","4,320","4,392","2,162","1,001","1,161",334,185,149
6,NYALI,"65,858","33,001","32,857",NYALI,NYALI,NYALI,Total,Male,Female,NYALI,Male,Female,"65,858","33,001","32,857","14,213","7,150","7,063","33,462","16,720","16,742","11,694","5,830","5,864","3,263","1,526","1,737","2,802","1,554","1,248",74,34,40,166,82,84,184,105,79,-,-,-,NYALI,NYALI,NYALI,NYALI,Male,Female,"181,762","92,805","88,952","11,358","5,633","5,725","70,925","35,130","35,793","51,797","27,855","23,941","20,836","9,970","10,866","11,173","6,318","4,853",57,24,33,8,5,3,"14,549","7,322","7,227",717,366,351,342,182,160
7,KWALE,"334,612","171,696","162,911",KWALE,KWALE,KWALE,Total,Male,Female,KWALE,Male,Female,"334,612","171,696","162,911","82,822","42,535","40,285","207,769","106,020","101,747","36,756","19,415","17,340","4,107","1,883","2,224","1,936","1,195",741,355,185,170,355,185,170,512,278,234,-,-,-,KWALE,KWALE,KWALE,KWALE,Male,Female,"585,770","304,149","281,610","42,445","22,028","20,414","342,513","173,915","168,593","84,543","47,246","37,297","22,142","11,630","10,511","6,463","4,174","2,289",332,172,160,39,26,13,"84,380","43,305","41,073","1,871","1,045",826,"1,042",608,434
8,KINANGO,"38,765","20,011","18,753",KINANGO,KINANGO,KINANGO,Total,Male,Female,KINANGO,Male,Female,"38,765","20,011","18,753","10,237","5,269","4,968","24,613","12,650","11,962","3,320","1,772","1,548",371,183,188,136,100,36,45,22,23,4,-,4,39,15,24,-,-,-,KINANGO,KINANGO,KINANGO,KINANGO,Male,Female,"58,568","30,470","28,097","4,621","2,459","2,161","36,161","18,420","17,741","5,334","3,006","2,328","1,449",858,591,360,257,103,44,19,25,-,-,-,"10,417","5,352","5,065",140,75,65,42,24,18
9,LUNGA LUNGA,"76,787","39,663","37,124",LUNGA LUNGA,LUNGA LUNGA,LUNGA LUNGA,Total,Male,Female,LUNGA LUNGA,Male,Female,"76,787","39,663","37,124","19,262","9,874","9,388","49,283","25,237","24,046","7,109","3,916","3,193",536,279,257,212,141,71,129,75,54,91,50,41,165,91,74,-,-,-,LUNGA LUNGA,LUNGA LUNGA,LUNGA LUNGA,LUNGA LUNGA,Male,Female,"122,221","63,937","58,283","11,355","5,866","5,488","74,624","38,249","36,375","12,253","7,116","5,137","2,569","1,518","1,051",632,468,164,126,74,52,4,3,1,"19,706","10,085","9,621",442,247,195,510,311,199
