,County,Total_employment_titlea,Total_Broad_Age_Groups_slash_County,Total_Broad_Age_Groups_slash_County_original,Total_Total,Total_Working_and_Seeking_Work_slash_No_Work_Available,Total_Working,Total_Seeking_Work_slash_No_Work_Available,Total_Persons_outside_the_Labour_Force,Total_Not_Stated,5to14_employment_titlea,5to14_Broad_Age_Groups_slash_County,5to14_Broad_Age_Groups_slash_County_original,5to14_Total,5to14_Working_and_Seeking_Work_slash_No_Work_Available,5to14_Working,5to14_Seeking_Work_slash_No_Work_Available,5to14_Persons_outside_the_Labour_Force,5to14_Not_Stated,15to17_employment_titlea,15to17_Broad_Age_Groups_slash_County,15to17_Broad_Age_Groups_slash_County_original,15to17_Total,15to17_Working_and_Seeking_Work_slash_No_Work_Available,15to17_Working,15to17_Seeking_Work_slash_No_Work_Available,15to17_Persons_outside_the_Labour_Force,15to17_Not_Stated,18to24_employment_titlea,18to24_Broad_Age_Groups_slash_County,18to24_Broad_Age_Groups_slash_County_original,18to24_Total,18to24_Working_and_Seeking_Work_slash_No_Work_Available,18to24_Working,18to24_Seeking_Work_slash_No_Work_Available,18to24_Persons_outside_the_Labour_Force,18to24_Not_Stated,25to34_employment_titlea,25to34_Broad_Age_Groups_slash_County,25to34_Broad_Age_Groups_slash_County_original,25to34_Total,25to34_Working_and_Seeking_Work_slash_No_Work_Available,25to34_Working,25to34_Seeking_Work_slash_No_Work_Available,25to34_Persons_outside_the_Labour_Force,25to34_Not_Stated,35to64_employment_titlea,35to64_Broad_Age_Groups_slash_County,35to64_Broad_Age_Groups_slash_County_original,35to64_Total,35to64_Working_and_Seeking_Work_slash_No_Work_Available,35to64_Working,35to64_Seeking_Work_slash_No_Work_Available,35to64_Persons_outside_the_Labour_Force,35to64_Not_Stated,65plus_employment_titlea,65plus_Broad_Age_Groups_slash_County,65plus_Broad_Age_Groups_slash_County_original,65plus_Total,65plus_Working_and_Seeking_Work_slash_No_Work_Available,65plus_Working,65plus_Seeking_Work_slash_No_Work_Available,65plus_Persons_outside_the_Labour_Force,65plus_Not_Stated,NotStated_employment_titlea,NotStated_Broad_Age_Groups_slash_County,NotStated_Broad_Age_Groups_slash_County_original,NotStated_Total,NotStated_Working_and_Seeking_Work_slash_No_Work_Available,NotStated_Working,NotStated_Seeking_Work_slash_No_Work_Available,NotStated_Persons_outside_the_Labour_Force,NotStated_Not_Stated
1,MOMBASA,MOMBASA,Total,MOMBASA,"1,043,603","423,439 141,942","423,439","141,942","477,965",257,MOMBASA,5 - 14,5 - 14,"243,191","3,289 -","3,289",-,"239,864",38,MOMBASA,15 - 17,15 - 17,"56,896","2,823 2,632","2,823","2,632","51,432",9,MOMBASA,18 - 24,18 - 24,"179,599","64,289 38,583","64,289","38,583","76,691",36,MOMBASA,25 - 34,25 - 34,"260,491","158,840 53,967","158,840","53,967","47,620",64,MOMBASA,35 - 64,35 - 64,"280,908","186,702 44,595","186,702","44,595","49,532",79,MOMBASA,65 +,65 +,"22,494","7,496 2,165","7,496","2,165","12,826",7,MOMBASA,Not Stated,Not Stated,24,- -,-,-,-,24
2,KWALE,KWALE,Total,KWALE,"728,767","333,587 44,175","333,587","44,175","350,840",165,KWALE,5 - 14,5 - 14,"255,799","24,000 -","24,000",-,"231,756",43,KWALE,15 - 17,15 - 17,"60,598","8,881 1,418","8,881","1,418","50,290",9,KWALE,18 - 24,18 - 24,"106,584","55,440 11,314","55,440","11,314","39,807",23,KWALE,25 - 34,25 - 34,"116,234","89,047 15,303","89,047","15,303","11,863",21,KWALE,35 - 64,35 - 64,"156,787","129,684 14,669","129,684","14,669","12,385",49,KWALE,65 +,65 +,"32,755","26,535 1,471","26,535","1,471","4,739",10,KWALE,Not Stated,Not Stated,10,- -,-,-,-,10
3,KILIFI,KILIFI,Total,KILIFI,"1,240,674","534,420 77,211","534,420","77,211","628,808",235,KILIFI,5 - 14,5 - 14,"410,494","21,201 -","21,201",-,"389,237",56,KILIFI,15 - 17,15 - 17,"106,780","7,783 1,733","7,783","1,733","97,249",15,KILIFI,18 - 24,18 - 24,"197,338","89,307 21,155","89,307","21,155","86,852",24,KILIFI,25 - 34,25 - 34,"205,386","154,294 27,712","154,294","27,712","23,339",41,KILIFI,35 - 64,35 - 64,"265,114","217,054 24,601","217,054","24,601","23,395",64,KILIFI,65 +,65 +,"55,546","44,781 2,010","44,781","2,010","8,736",19,KILIFI,Not Stated,Not Stated,16,- -,-,-,-,16
4,TANA RIVER,TANA RIVER,Total,TANA RIVER,"261,570","118,026 25,851","118,026","25,851","117,572",121,TANA RIVER,5 - 14,5 - 14,"99,420","24,158 -","24,158",-,"75,226",36,TANA RIVER,15 - 17,15 - 17,"20,986","5,593 1,653","5,593","1,653","13,732",8,TANA RIVER,18 - 24,18 - 24,"38,818","19,475 6,746","19,475","6,746","12,580",17,TANA RIVER,25 - 34,25 - 34,"39,780","25,745 7,804","25,745","7,804","6,211",20,TANA RIVER,35 - 64,35 - 64,"52,773","37,013 8,667","37,013","8,667","7,065",28,TANA RIVER,65 +,65 +,"9,787","6,042 981","6,042",981,"2,758",6,TANA RIVER,Not Stated,Not Stated,6,- -,-,-,-,6
5,LAMU,LAMU,Total,LAMU,"123,237","60,478 6,802","60,478","6,802","55,921",36,LAMU,5 - 14,5 - 14,"36,847","3,290 -","3,290",-,"33,553",4,LAMU,15 - 17,15 - 17,"9,362","1,292 215","1,292",215,"7,854",1,LAMU,18 - 24,18 - 24,"18,425","9,865 1,867","9,865","1,867","6,688",5,LAMU,25 - 34,25 - 34,"21,754","17,024 2,180","17,024","2,180","2,544",6,LAMU,35 - 64,35 - 64,"31,188","25,012 2,371","25,012","2,371","3,791",14,LAMU,65 +,65 +,"5,657","3,995 169","3,995",169,"1,491",2,LAMU,Not Stated,Not Stated,4,- -,-,-,-,4
6,TAITA/TAVETA,TAITA/TAVETA,Total,TAITA/TAVETA,"297,186","161,750 15,886","161,750","15,886","119,483",67,TAITA/TAVETA,5 - 14,5 - 14,"76,972","2,009 -","2,009",-,"74,946",17,TAITA/TAVETA,15 - 17,15 - 17,"21,951","2,317 334","2,317",334,"19,297",3,TAITA/TAVETA,18 - 24,18 - 24,"41,316","23,188 4,285","23,188","4,285","13,833",10,TAITA/TAVETA,25 - 34,25 - 34,"49,577","40,257 5,243","40,257","5,243","4,067",10,TAITA/TAVETA,35 - 64,35 - 64,"87,747","77,234 5,675","77,234","5,675","4,815",23,TAITA/TAVETA,65 +,65 +,"19,620","16,745 349","16,745",349,"2,525",1,TAITA/TAVETA,Not Stated,Not Stated,3,- -,-,-,-,3
7,GARISSA,GARISSA,Total,GARISSA,"723,909","259,150 167,274","259,150","167,274","297,333",152,GARISSA,5 - 14,5 - 14,"270,735","85,334 -","85,334",-,"185,361",40,GARISSA,15 - 17,15 - 17,"76,510","23,761 25,368","23,761","25,368","27,371",10,GARISSA,18 - 24,18 - 24,"125,352","42,540 47,446","42,540","47,446","35,336",30,GARISSA,25 - 34,25 - 34,"114,266","48,334 43,483","48,334","43,483","22,416",33,GARISSA,35 - 64,35 - 64,"122,811","53,918 46,178","53,918","46,178","22,686",29,GARISSA,65 +,65 +,"14,231","5,263 4,799","5,263","4,799","4,163",6,GARISSA,Not Stated,Not Stated,4,- -,-,-,-,4
8,WAJIR,WAJIR,Total,WAJIR,"652,575","290,686 116,074","290,686","116,074","245,753",62,WAJIR,5 - 14,5 - 14,"269,151","102,667 -","102,667",-,"166,465",19,WAJIR,15 - 17,15 - 17,"66,941","24,206 18,466","24,206","18,466","24,261",8,WAJIR,18 - 24,18 - 24,"96,144","42,282 29,759","42,282","29,759","24,090",13,WAJIR,25 - 34,25 - 34,"101,966","55,312 31,457","55,312","31,457","15,188",9,WAJIR,35 - 64,35 - 64,"106,927","59,977 33,406","59,977","33,406","13,533",11,WAJIR,65 +,65 +,"11,446","6,242 2,986","6,242","2,986","2,216",2,WAJIR,Not Stated,Not Stated,-,- -,-,-,-,-
9,MANDERA,MANDERA,Total,MANDERA,"701,187","303,296 93,806","303,296","93,806","303,960",125,MANDERA,5 - 14,5 - 14,"313,355","114,937 -","114,937",-,"198,368",50,MANDERA,15 - 17,15 - 17,"71,718","26,356 15,726","26,356","15,726","29,630",6,MANDERA,18 - 24,18 - 24,"108,142","46,918 27,176","46,918","27,176","34,029",19,MANDERA,25 - 34,25 - 34,"98,411","52,765 24,832","52,765","24,832","20,783",31,MANDERA,35 - 64,35 - 64,"97,064","55,498 23,568","55,498","23,568","17,980",18,MANDERA,65 +,65 +,"12,496","6,822 2,504","6,822","2,504","3,170",-,MANDERA,Not Stated,Not Stated,1,- -,-,-,-,1
10,MARSABIT,MARSABIT,Total,MARSABIT,"378,184","178,797 47,232","178,797","47,232","151,967",188,MARSABIT,5 - 14,5 - 14,"145,629","49,486 -","49,486",-,"96,034",109,MARSABIT,15 - 17,15 - 17,"37,619","13,751 6,353","13,751","6,353","17,510",5,MARSABIT,18 - 24,18 - 24,"59,128","29,157 13,009","29,157","13,009","16,949",13,MARSABIT,25 - 34,25 - 34,"58,509","36,334 13,453","36,334","13,453","8,694",28,MARSABIT,35 - 64,35 - 64,"63,564","41,948 12,640","41,948","12,640","8,950",26,MARSABIT,65 +,65 +,"13,730","8,121 1,777","8,121","1,777","3,830",2,MARSABIT,Not Stated,Not Stated,5,- -,-,-,-,5
