,Unnamed: 0.1,name,capital,code,sub_counties,sub_counties_lower,Place_county_or_subcounty,total_and_gender,number,dont_know_number,dont_know_number_percent,not_stated_number,at_school_or_learning_institution_number,at_school_or_learning_institution_pct,after_completion_number,after_completion_pct,before_completion_number,before_completion_pct,never_been_to_school_or_learning_institution_number,never_been_to_school_or_learning_institution_pct,Unnamed: 0,male_Place_county_or_subcounty,male_total_and_gender,male_number,male_at_school_or_learning_institution_number_and_percent,male_after_completion_number_and_percent,male_before_completion_number_and_percent,male_never_been_to_school_or_learning_institution_number_and_percent,male_dont_know_number,male_dont_know_number_percent,male_not_stated_number,male_at_school_or_learning_institution_number,male_at_school_or_learning_institution_pct,male_after_completion_number,male_after_completion_pct,male_before_completion_number,male_before_completion_pct,male_never_been_to_school_or_learning_institution_number,male_never_been_to_school_or_learning_institution_pct,Unnamed: 19,female_male_Place_county_or_subcounty,female_male_total_and_gender,female_male_number,female_male_at_school_or_learning_institution_number_and_percent,female_male_after_completion_number_and_percent,female_male_before_completion_number_and_percent,female_male_never_been_to_school_or_learning_institution_number_and_percent,female_male_dont_know_number,female_male_dont_know_number_percent,female_male_not_stated_number,female_male_at_school_or_learning_institution_number,female_male_at_school_or_learning_institution_pct,female_male_after_completion_number,female_male_after_completion_pct,female_male_before_completion_number,female_male_before_completion_pct,female_male_never_been_to_school_or_learning_institution_number,female_male_never_been_to_school_or_learning_institution_pct,male_Place_county_or_subcounty_lower
10,459,Baringo,Kabarnet,,,,BARINGO,BARINGO,"609,555","6,530",1.1,44,"253,878",41.6,"124,066",20.4,"67,739",11.1,"157,298",25.8,704,BARINGO,Male,"306,702","130,797 42.6","64,231 20.9","32,867 10.7","75,333 24.6","3,456",1.1,18,"130,797",42.6,"64,231",20.9,"32,867",10.7,"75,333",24.6,704,BARINGO,Male,"306,702","130,797 42.6","64,231 20.9","32,867 10.7","75,333 24.6","3,456",1.1,18,"130,797",42.6,"64,231",20.9,"32,867",10.7,"75,333",24.6,baringo
14,485,Bomet,Bomet,36.0,,,BOMET,BOMET,"810,122","6,730",0.8,75,"400,330",49.4,"169,658",20.9,"160,702",19.8,"72,627",9,848,BOMET,Male,"400,694","205,930 51.4","88,746 22.1","72,327 18.1","30,078 7.5","3,572",0.9,41,"205,930",51.4,"88,746",22.1,"72,327",18.1,"30,078",7.5,848,BOMET,Male,"400,694","205,930 51.4","88,746 22.1","72,327 18.1","30,078 7.5","3,572",0.9,41,"205,930",51.4,"88,746",22.1,"72,327",18.1,"30,078",7.5,bomet
21,492,Bungoma,Bungoma,39.0,,,BUNGOMA,BUNGOMA,"1,538,767","15,673",1,139,"782,677",50.9,"264,282",17.2,"324,058",21.1,"151,938",9.9,929,BUNGOMA,Male,"745,883","396,144 53.1","133,462 17.9","140,682 18.9","67,323 9.0","8,198",1.1,74,"396,144",53.1,"133,462",17.9,"140,682",18.9,"67,323",9,929,BUNGOMA,Male,"745,883","396,144 53.1","133,462 17.9","140,682 18.9","67,323 9.0","8,198",1.1,74,"396,144",53.1,"133,462",17.9,"140,682",18.9,"67,323",9,bungoma
29,502,Busia,Busia,40.0,,,BUSIA,BUSIA,"820,788","5,512",0.7,74,"405,072",49.4,"136,790",16.7,"170,347",20.8,"102,993",12.5,968,BUSIA,Male,"388,748","202,993 52.2","70,030 18.0","73,630 18.9","39,069 10.0","2,991",0.8,35,"202,993",52.2,"70,030",18.0,"73,630",18.9,"39,069",10,968,BUSIA,Male,"388,748","202,993 52.2","70,030 18.0","73,630 18.9","39,069 10.0","2,991",0.8,35,"202,993",52.2,"70,030",18.0,"73,630",18.9,"39,069",10,busia
30,503,Busia,Busia,40.0,,,BUSIA,BUSIA,"820,788","5,512",0.7,74,"405,072",49.4,"136,790",16.7,"170,347",20.8,"102,993",12.5,974,BUSIA,Male,"60,908","30,010 49.3","13,115 21.5","11,384 18.7","5,829 9.6",550,0.9,20,"30,010",49.3,"13,115",21.5,"11,384",18.7,"5,829",9.6,974,BUSIA,Male,"60,908","30,010 49.3","13,115 21.5","11,384 18.7","5,829 9.6",550,0.9,20,"30,010",49.3,"13,115",21.5,"11,384",18.7,"5,829",9.6,busia
31,504,Busia,Busia,40.0,,,BUSIA,BUSIA,"128,002","1,010",0.8,38,"60,486",47.3,"25,528",19.9,"25,909",20.2,"15,031",11.7,968,BUSIA,Male,"388,748","202,993 52.2","70,030 18.0","73,630 18.9","39,069 10.0","2,991",0.8,35,"202,993",52.2,"70,030",18.0,"73,630",18.9,"39,069",10,968,BUSIA,Male,"388,748","202,993 52.2","70,030 18.0","73,630 18.9","39,069 10.0","2,991",0.8,35,"202,993",52.2,"70,030",18.0,"73,630",18.9,"39,069",10,busia
32,505,Busia,Busia,40.0,,,BUSIA,BUSIA,"128,002","1,010",0.8,38,"60,486",47.3,"25,528",19.9,"25,909",20.2,"15,031",11.7,974,BUSIA,Male,"60,908","30,010 49.3","13,115 21.5","11,384 18.7","5,829 9.6",550,0.9,20,"30,010",49.3,"13,115",21.5,"11,384",18.7,"5,829",9.6,974,BUSIA,Male,"60,908","30,010 49.3","13,115 21.5","11,384 18.7","5,829 9.6",550,0.9,20,"30,010",49.3,"13,115",21.5,"11,384",18.7,"5,829",9.6,busia
48,394,Embu,Embu,14.0,,,EMBU,EMBU,"568,228","2,404",0.4,51,"205,389",36.1,"180,500",31.8,"131,329",23.1,"48,555",8.5,284,EMBU,Male,"283,024","104,132 36.8","90,744 32.1","67,774 23.9","18,822 6.7","1,530",0.5,22,"104,132",36.8,"90,744",32.1,"67,774",23.9,"18,822",6.7,284,EMBU,Male,"283,024","104,132 36.8","90,744 32.1","67,774 23.9","18,822 6.7","1,530",0.5,22,"104,132",36.8,"90,744",32.1,"67,774",23.9,"18,822",6.7,embu
58,36,Garissa,Garissa,7.0,Garissa,garissa,GARISSA,GARISSA,"778,006","27,479",3.5,155,"132,990",17.1,"23,144",3.0,"9,508",1.2,"584,730",75.2,110,GARISSA,Male,"425,411","77,489 18.2","15,400 3.6","5,309 1.2","311,556 73.2","15,564",3.7,93,"77,489",18.2,"15,400",3.6,"5,309",1.2,"311,556",73.2,110,GARISSA,Male,"425,411","77,489 18.2","15,400 3.6","5,309 1.2","311,556 73.2","15,564",3.7,93,"77,489",18.2,"15,400",3.6,"5,309",1.2,"311,556",73.2,garissa
59,37,Garissa,Garissa,7.0,Garissa,garissa,GARISSA,GARISSA,"778,006","27,479",3.5,155,"132,990",17.1,"23,144",3.0,"9,508",1.2,"584,730",75.2,122,GARISSA,Male,"75,234","22,526 29.9","7,644 10.2","2,271 3.0","39,777 52.9","2,994",4,22,"22,526",29.9,"7,644",10.2,"2,271",3,"39,777",52.9,122,GARISSA,Male,"75,234","22,526 29.9","7,644 10.2","2,271 3.0","39,777 52.9","2,994",4,22,"22,526",29.9,"7,644",10.2,"2,271",3,"39,777",52.9,garissa
