,female_Place_county_or_subcounty,female_total_and_gender,female_number,female_at_school_or_learning_institution_number_and_percent,female_after_completion_number_and_percent,female_before_completion_number_and_percent,female_never_been_to_school_or_learning_institution_number_and_percent,female_dont_know_number,female_dont_know_number_percent,female_not_stated_number,female_at_school_or_learning_institution_number,female_at_school_or_learning_institution_pct,female_after_completion_number,female_after_completion_pct,female_before_completion_number,female_before_completion_pct,female_never_been_to_school_or_learning_institution_number,female_never_been_to_school_or_learning_institution_pct
2,KENYA,Female,"22,164,531","8,739,524 39.4","5,657,565 25.5","3,681,910 16.6","3,896,417 17.6","184,558",0.8,"4,557","8,739,524",39.4,"5,657,565",25.5,"3,681,910",16.6,"3,896,417",17.6
6,MOMBASA,Female,"547,681","188,930 34.5","214,424 39.2","79,596 14.5","60,843 11.1","3,772",0.7,116,"188,930",34.5,"214,424",39.2,"79,596",14.5,"60,843",11.1
9,CHANGAMWE,Female,"58,150","19,550 33.6","26,179 45.0","8,048 13.8","3,964 6.8",401,0.7,8,"19,550",33.6,"26,179",45.0,"8,048",13.8,"3,964",6.8
12,JOMVU,Female,"73,765","25,872 35.1","29,872 40.5","9,739 13.2","7,992 10.8",276,0.4,14,"25,872",35.1,"29,872",40.5,"9,739",13.2,"7,992",10.8
15,KISAUNI,Female,"132,388","47,707 36.0","48,876 36.9","19,399 14.7","15,434 11.7",941,0.7,31,"47,707",36.0,"48,876",36.9,"19,399",14.7,"15,434",11.7
18,LIKONI,Female,"112,685","39,746 35.3","40,849 36.3","17,814 15.8","13,650 12.1",618,0.5,8,"39,746",35.3,"40,849",36.3,"17,814",15.8,"13,650",12.1
21,MVITA,Female,"72,336","23,198 32.1","27,255 37.7","9,922 13.7","11,229 15.5",705,1,27,"23,198",32.1,"27,255",37.7,"9,922",13.7,"11,229",15.5
24,NYALI,Female,"98,357","32,857 33.4","41,393 42.1","14,674 14.9","8,574 8.7",831,0.8,28,"32,857",33.4,"41,393",42.1,"14,674",14.9,"8,574",8.7
27,KWALE,Female,"400,636","162,911 40.7","69,162 17.3","49,457 12.3","116,716 29.1","2,310",0.6,80,"162,911",40.7,"69,162",17.3,"49,457",12.3,"116,716",29.1
30,KINANGO,Female,"44,088","18,753 42.5","4,405 10.0","4,929 11.2","15,811 35.9",180,0.4,10,"18,753",42.5,"4,405",10.0,"4,929",11.2,"15,811",35.9
33,LUNGA LUNGA,Female,"92,161","37,124 40.3","9,831 10.7","11,324 12.3","32,980 35.8",898,1,4,"37,124",40.3,"9,831",10.7,"11,324",12.3,"32,980",35.8
36,MATUGA,Female,"90,296","37,257 41.3","18,633 20.6","11,505 12.7","22,580 25.0",302,0.3,19,"37,257",41.3,"18,633",20.6,"11,505",12.7,"22,580",25.0
39,MSAMBWENI,Female,"79,752","30,206 37.9","24,085 30.2","11,698 14.7","13,284 16.7",468,0.6,11,"30,206",37.9,"24,085",30.2,"11,698",14.7,"13,284",16.7
42,SAMBURU,Female,"94,339","39,571 41.9","12,208 12.9","10,001 10.6","32,061 34.0",462,0.5,36,"39,571",41.9,"12,208",12.9,"10,001",10.6,"32,061",34.0
45,KILIFI,Female,"686,754","296,841 43.2","128,273 18.7","89,122 13.0","167,972 24.5","4,420",0.6,126,"296,841",43.2,"128,273",18.7,"89,122",13.0,"167,972",24.5
48,CHONYI,Female,"30,328","13,938 46.0","3,798 12.5","3,897 12.8","8,551 28.2",144,0.5,-,"13,938",46.0,"3,798",12.5,"3,897",12.8,"8,551",28.2
51,GANZE,Female,"70,546","32,969 46.7","6,999 9.9","6,387 9.1","23,793 33.7",370,0.5,28,"32,969",46.7,"6,999",9.9,"6,387",9.1,"23,793",33.7
54,KALOLENI,Female,"92,733","39,559 42.7","14,764 15.9","10,326 11.1","27,388 29.5",664,0.7,32,"39,559",42.7,"14,764",15.9,"10,326",11.1,"27,388",29.5
57,KAUMA,Female,"10,767","5,310 49.3","1,350 12.5",888 8.2,"3,096 28.8",123,1.1,-,"5,310",49.3,"1,350",12.5,888,8.2,"3,096",28.8
60,KILIFI NORTH,Female,"84,225","35,902 42.6","18,724 22.2","12,794 15.2","16,357 19.4",443,0.5,5,"35,902",42.6,"18,724",22.2,"12,794",15.2,"16,357",19.4
63,KILIFI SOUTH,Female,"95,799","37,977 39.6","24,904 26.0","14,537 15.2","17,421 18.2",955,1,5,"37,977",39.6,"24,904",26.0,"14,537",15.2,"17,421",18.2
66,MAGARINI,Female,"90,124","42,297 46.9","10,484 11.6","11,019 12.2","26,062 28.9",255,0.3,7,"42,297",46.9,"10,484",11.6,"11,019",12.2,"26,062",28.9
69,MALINDI,Female,"154,653","64,841 41.9","34,672 22.4","22,712 14.7","31,424 20.3",959,0.6,45,"64,841",41.9,"34,672",22.4,"22,712",14.7,"31,424",20.3
72,RABAI,Female,"57,579","24,048 41.8","12,578 21.8","6,562 11.4","13,880 24.1",507,0.9,4,"24,048",41.8,"12,578",21.8,"6,562",11.4,"13,880",24.1
75,TANA RIVER,Female,"142,516","45,527 31.9","13,464 9.4","14,560 10.2","68,287 47.9",609,0.4,69,"45,527",31.9,"13,464",9.4,"14,560",10.2,"68,287",47.9
78,TANA DELTA,Female,"49,726","18,500 37.2","4,779 9.6","5,316 10.7","20,946 42.1",155,0.3,30,"18,500",37.2,"4,779",9.6,"5,316",10.7,"20,946",42.1
81,TANA NORTH,Female,"52,294","12,905 24.7","3,966 7.6","3,589 6.9","31,495 60.2",327,0.6,12,"12,905",24.7,"3,966",7.6,"3,589",6.9,"31,495",60.2
84,TANA RIVER,Female,"40,496","14,122 34.9","4,719 11.7","5,655 14.0","15,846 39.1",127,0.3,27,"14,122",34.9,"4,719",11.7,"5,655",14.0,"15,846",39.1
87,LAMU,Female,"61,877","24,278 39.2","11,899 19.2","10,932 17.7","14,437 23.3",314,0.5,17,"24,278",39.2,"11,899",19.2,"10,932",17.7,"14,437",23.3
90,LAMU EAST,Female,"9,832","3,726 37.9","1,430 14.5","2,025 20.6","2,633 26.8",18,0.2,-,"3,726",37.9,"1,430",14.5,"2,025",20.6,"2,633",26.8
93,LAMU WEST,Female,"52,045","20,552 39.5","10,469 20.1","8,907 17.1","11,804 22.7",296,0.6,17,"20,552",39.5,"10,469",20.1,"8,907",17.1,"11,804",22.7
96,TAITA/TAVETA,Female,"154,357","57,108 37.0","55,594 36.0","24,190 15.7","16,888 10.9",542,0.4,35,"57,108",37.0,"55,594",36.0,"24,190",15.7,"16,888",10.9
99,MWATATE,Female,"37,404","14,002 37.4","12,808 34.2","6,408 17.1","4,126 11.0",56,0.1,4,"14,002",37.4,"12,808",34.2,"6,408",17.1,"4,126",11.0
102,TAITA,Female,"25,850","9,502 36.8","10,301 39.8","3,390 13.1","2,556 9.9",99,0.4,2,"9,502",36.8,"10,301",39.8,"3,390",13.1,"2,556",9.9
105,TAVETA,Female,"40,241","15,537 38.6","11,993 29.8","7,481 18.6","4,993 12.4",224,0.6,13,"15,537",38.6,"11,993",29.8,"7,481",18.6,"4,993",12.4
108,VOI,Female,"50,862","18,067 35.5","20,492 40.3","6,911 13.6","5,213 10.2",163,0.3,16,"18,067",35.5,"20,492",40.3,"6,911",13.6,"5,213",10.2
111,GARISSA,Female,"352,563","55,497 15.7","7,744 2.2","4,198 1.2","273,149 77.5","11,913",3.4,62,"55,497",15.7,"7,744",2.2,"4,198",1.2,"273,149",77.5
114,BALAMBALA,Female,"11,492","1,048 9.1",68 0.6,28 0.2,"10,212 88.9",136,1.2,-,"1,048",9.1,68,0.6,28,0.2,"10,212",88.9
117,DADAAB,Female,"79,942","8,529 10.7",924 1.2,667 0.8,"66,718 83.5","3,087",3.9,17,"8,529",10.7,924,1.2,667,0.8,"66,718",83.5
120,FAFI,Female,"56,708","6,389 11.3",781 1.4,577 1.0,"47,489 83.7","1,463",2.6,9,"6,389",11.3,781,1.4,577,1.0,"47,489",83.7
123,GARISSA,Female,"73,652","18,033 24.5","4,449 6.0","1,973 2.7","46,268 62.8","2,903",3.9,26,"18,033",24.5,"4,449",6.0,"1,973",2.7,"46,268",62.8
126,HULUGHO,Female,"51,525","7,703 15.0",437 0.8,440 0.9,"41,710 81.0","1,232",2.4,3,"7,703",15.0,437,0.8,440,0.9,"41,710",81.0
129,IJARA,Female,"56,083","11,597 20.7",950 1.7,414 0.7,"40,391 72.0","2,724",4.9,7,"11,597",20.7,950,1.7,414,0.7,"40,391",72.0
132,LAGDERA,Female,"23,161","2,198 9.5",135 0.6,99 0.4,"20,361 87.9",368,1.6,-,"2,198",9.5,135,0.6,99,0.4,"20,361",87.9
135,WAJIR,Female,"331,969","56,970 17.2","4,369 1.3","2,265 0.7","263,682 79.4","4,660",1.4,23,"56,970",17.2,"4,369",1.3,"2,265",0.7,"263,682",79.4
138,BUNA,Female,"20,234","2,671 13.2",158 0.8,66 0.3,"16,946 83.8",393,1.9,-,"2,671",13.2,158,0.8,66,0.3,"16,946",83.8
141,ELDAS,Female,"40,314","6,531 16.2",319 0.8,211 0.5,"32,541 80.7",712,1.8,-,"6,531",16.2,319,0.8,211,0.5,"32,541",80.7
144,HABASWEIN,Female,"72,531","14,153 19.5",913 1.3,592 0.8,"56,572 78.0",289,0.4,12,"14,153",19.5,913,1.3,592,0.8,"56,572",78.0
