,Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number,at_school_or_learning_institution_number,at_school_or_learning_institution_pct,after_completion_number,after_completion_pct,before_completion_number,before_completion_pct,never_been_to_school_or_learning_institution_number,never_been_to_school_or_learning_institution_pct
0,KENYA,KENYA,"43,739,906","17,780,277 40.7","11,568,544 26.4","6,854,538 15.7","7,120,542 16.3","406,887",0.9,"9,118","17,780,277",40.7,"11,568,544",26.4,"6,854,538",15.7,"7,120,542",16.3
4,MOMBASA,MOMBASA,"1,100,173","378,423 34.4","457,603 41.6","153,982 14.0","101,097 9.2","8,817",0.8,251,"378,423",34.4,"457,603",41.6,"153,982",14.0,"101,097",9.2
7,CHANGAMWE,CHANGAMWE,"121,334","39,032 32.2","58,097 47.9","16,205 13.4","6,940 5.7","1,048",0.9,12,"39,032",32.2,"58,097",47.9,"16,205",13.4,"6,940",5.7
10,JOMVU,JOMVU,"149,699","51,892 34.7","64,235 42.9","19,430 13.0","13,416 9.0",698,0.5,28,"51,892",34.7,"64,235",42.9,"19,430",13.0,"13,416",9.0
13,KISAUNI,KISAUNI,"263,742","95,844 36.3","102,940 39.0","37,450 14.2","25,182 9.5","2,257",0.9,69,"95,844",36.3,"102,940",39.0,"37,450",14.2,"25,182",9.5
16,LIKONI,LIKONI,"228,472","79,083 34.6","90,079 39.4","34,337 15.0","23,434 10.3","1,516",0.7,23,"79,083",34.6,"90,079",39.4,"34,337",15.0,"23,434",10.3
19,MVITA,MVITA,"138,927","46,714 33.6","54,731 39.4","18,229 13.1","17,745 12.8","1,441",1,67,"46,714",33.6,"54,731",39.4,"18,229",13.1,"17,745",12.8
22,NYALI,NYALI,"197,999","65,858 33.3","87,521 44.2","28,331 14.3","14,380 7.3","1,857",0.9,52,"65,858",33.3,"87,521",44.2,"28,331",14.3,"14,380",7.3
25,KWALE,KWALE,"783,189","334,612 42.7","152,178 19.4","98,811 12.6","192,001 24.5","5,418",0.7,169,"334,612",42.7,"152,178",19.4,"98,811",12.6,"192,001",24.5
28,KINANGO,KINANGO,"84,534","38,765 45.9","9,817 11.6","9,969 11.8","25,594 30.3",372,0.4,17,"38,765",45.9,"9,817",11.6,"9,969",11.8,"25,594",30.3
31,LUNGA LUNGA,LUNGA LUNGA,"180,056","76,787 42.6","22,030 12.2","23,394 13.0","55,779 31.0","2,056",1.1,10,"76,787",42.6,"22,030",12.2,"23,394",13.0,"55,779",31.0
34,MATUGA,MATUGA,"177,675","76,734 43.2","40,378 22.7","22,561 12.7","37,190 20.9",771,0.4,41,"76,734",43.2,"40,378",22.7,"22,561",12.7,"37,190",20.9
37,MSAMBWENI,MSAMBWENI,"159,936","61,075 38.2","52,123 32.6","22,798 14.3","22,665 14.2","1,245",0.8,30,"61,075",38.2,"52,123",32.6,"22,798",14.3,"22,665",14.2
40,SAMBURU,SAMBURU,"180,988","81,251 44.9","27,830 15.4","20,089 11.1","50,773 28.1",974,0.5,71,"81,251",44.9,"27,830",15.4,"20,089",11.1,"50,773",28.1
43,KILIFI,KILIFI,"1,323,664","605,776 45.8","282,538 21.3","175,199 13.2","250,280 18.9","9,634",0.7,237,"605,776",45.8,"282,538",21.3,"175,199",13.2,"250,280",18.9
46,CHONYI,CHONYI,"57,246","28,875 50.4","8,612 15.0","7,410 12.9","12,060 21.1",289,0.5,-,"28,875",50.4,"8,612",15.0,"7,410",12.9,"12,060",21.1
49,GANZE,GANZE,"131,101","67,193 51.3","14,842 11.3","13,191 10.1","35,066 26.7",761,0.6,48,"67,193",51.3,"14,842",11.3,"13,191",10.1,"35,066",26.7
52,KALOLENI,KALOLENI,"176,734","80,964 45.8","32,710 18.5","20,914 11.8","40,720 23.0","1,369",0.8,57,"80,964",45.8,"32,710",18.5,"20,914",11.8,"40,720",23.0
55,KAUMA,KAUMA,"20,821","10,969 52.7","3,354 16.1","1,753 8.4","4,517 21.7",228,1.1,-,"10,969",52.7,"3,354",16.1,"1,753",8.4,"4,517",21.7
58,KILIFI NORTH,KILIFI NORTH,"162,990","72,834 44.7","40,268 24.7","24,984 15.3","23,855 14.6","1,040",0.6,9,"72,834",44.7,"40,268",24.7,"24,984",15.3,"23,855",14.6
61,KILIFI SOUTH,KILIFI SOUTH,"187,663","76,984 41.0","53,927 28.7","28,002 14.9","26,646 14.2","2,092",1.1,12,"76,984",41.0,"53,927",28.7,"28,002",14.9,"26,646",14.2
64,MAGARINI,MAGARINI,"174,553","86,722 49.7","24,896 14.3","22,469 12.9","39,884 22.8",562,0.3,20,"86,722",49.7,"24,896",14.3,"22,469",12.9,"39,884",22.8
67,MALINDI,MALINDI,"301,205","132,098 43.9","76,156 25.3","43,748 14.5","46,878 15.6","2,241",0.7,84,"132,098",43.9,"76,156",25.3,"43,748",14.5,"46,878",15.6
70,RABAI,RABAI,"111,351","49,137 44.1","27,773 24.9","12,728 11.4","20,654 18.5","1,052",0.9,7,"49,137",44.1,"27,773",24.9,"12,728",11.4,"20,654",18.5
73,TANA RIVER,TANA RIVER,"284,605","95,997 33.7","32,815 11.5","29,062 10.2","125,160 44.0","1,445",0.5,126,"95,997",33.7,"32,815",11.5,"29,062",10.2,"125,160",44.0
76,TANA DELTA,TANA DELTA,"99,792","38,308 38.4","11,589 11.6","10,687 10.7","38,778 38.9",384,0.4,46,"38,308",38.4,"11,589",11.6,"10,687",10.7,"38,778",38.9
79,TANA NORTH,TANA NORTH,"105,495","28,681 27.2","10,250 9.7","7,843 7.4","57,968 54.9",724,0.7,29,"28,681",27.2,"10,250",9.7,"7,843",7.4,"57,968",54.9
82,TANA RIVER,TANA RIVER,"79,318","29,008 36.6","10,976 13.8","10,532 13.3","28,414 35.8",337,0.4,51,"29,008",36.6,"10,976",13.8,"10,532",13.3,"28,414",35.8
85,LAMU,LAMU,"130,991","50,249 38.4","30,833 23.5","22,762 17.4","26,325 20.1",786,0.6,36,"50,249",38.4,"30,833",23.5,"22,762",17.4,"26,325",20.1
88,LAMU EAST,LAMU EAST,"20,637","7,592 36.8","4,029 19.5","4,189 20.3","4,745 23.0",82,0.4,-,"7,592",36.8,"4,029",19.5,"4,189",20.3,"4,745",23.0
91,LAMU WEST,LAMU WEST,"110,354","42,657 38.7","26,804 24.3","18,573 16.8","21,580 19.6",704,0.6,36,"42,657",38.7,"26,804",24.3,"18,573",16.8,"21,580",19.6
94,TAITA/TAVETA,TAITA/TAVETA,"312,593","116,381 37.2","118,731 38.0","47,998 15.4","28,128 9.0","1,286",0.4,69,"116,381",37.2,"118,731",38.0,"47,998",15.4,"28,128",9.0
97,MWATATE,MWATATE,"76,078","28,635 37.6","27,675 36.4","12,851 16.9","6,765 8.9",143,0.2,9,"28,635",37.6,"27,675",36.4,"12,851",16.9,"6,765",8.9
100,TAITA,TAITA,"52,345","19,302 36.9","22,153 42.3","6,632 12.7","4,059 7.8",197,0.4,2,"19,302",36.9,"22,153",42.3,"6,632",12.7,"4,059",7.8
103,TAVETA,TAVETA,"82,789","31,879 38.5","25,884 31.3","15,410 18.6","9,009 10.9",585,0.7,22,"31,879",38.5,"25,884",31.3,"15,410",18.6,"9,009",10.9
106,VOI,VOI,"101,381","36,565 36.1","43,019 42.4","13,105 12.9","8,295 8.2",361,0.4,36,"36,565",36.1,"43,019",42.4,"13,105",12.9,"8,295",8.2
109,GARISSA,GARISSA,"778,006","132,990 17.1","23,144 3.0","9,508 1.2","584,730 75.2","27,479",3.5,155,"132,990",17.1,"23,144",3.0,"9,508",1.2,"584,730",75.2
112,BALAMBALA,BALAMBALA,"30,885","2,740 8.9",653 2.1,142 0.5,"26,934 87.2",416,1.3,-,"2,740",8.9,653,2.1,142,0.5,"26,934",87.2
115,DADAAB,DADAAB,"171,529","20,883 12.2","3,254 1.9","1,479 0.9","138,363 80.7","7,491",4.4,59,"20,883",12.2,"3,254",1.9,"1,479",0.9,"138,363",80.7
118,FAFI,FAFI,"123,861","15,237 12.3","2,351 1.9","1,334 1.1","102,021 82.4","2,895",2.3,23,"15,237",12.3,"2,351",1.9,"1,334",1.1,"102,021",82.4
121,GARISSA,GARISSA,"148,891","40,562 27.2","12,093 8.1","4,244 2.9","86,046 57.8","5,898",4,48,"40,562",27.2,"12,093",8.1,"4,244",2.9,"86,046",57.8
124,HULUGHO,HULUGHO,"124,947","19,993 16.0","1,347 1.1","1,038 0.8","99,237 79.4","3,324",2.7,8,"19,993",16.0,"1,347",1.1,"1,038",0.8,"99,237",79.4
