,male_Place_county_or_subcounty,male_total_and_gender,male_number,male_at_school_or_learning_institution_number_and_percent,male_after_completion_number_and_percent,male_before_completion_number_and_percent,male_never_been_to_school_or_learning_institution_number_and_percent,male_dont_know_number,male_dont_know_number_percent,male_not_stated_number,male_at_school_or_learning_institution_number,male_at_school_or_learning_institution_pct,male_after_completion_number,male_after_completion_pct,male_before_completion_number,male_before_completion_pct,male_never_been_to_school_or_learning_institution_number,male_never_been_to_school_or_learning_institution_pct
1,KENYA,Male,"21,574,077","9,040,318 41.9","5,910,664 27.4","3,172,382 14.7","3,223,856 14.9","222,301",1,"4,556","9,040,318",41.9,"5,910,664",27.4,"3,172,382",14.7,"3,223,856",14.9
5,MOMBASA,Male,"552,476","189,490 34.3","243,173 44.0","74,382 13.5","40,253 7.3","5,043",0.9,135,"189,490",34.3,"243,173",44.0,"74,382",13.5,"40,253",7.3
8,CHANGAMWE,Male,"63,184","19,482 30.8","31,918 50.5","8,157 12.9","2,976 4.7",647,1,4,"19,482",30.8,"31,918",50.5,"8,157",12.9,"2,976",4.7
11,JOMVU,Male,"75,931","26,020 34.3","34,362 45.3","9,689 12.8","5,424 7.1",422,0.6,14,"26,020",34.3,"34,362",45.3,"9,689",12.8,"5,424",7.1
14,KISAUNI,Male,"131,351","48,136 36.6","54,063 41.2","18,051 13.7","9,748 7.4","1,315",1,38,"48,136",36.6,"54,063",41.2,"18,051",13.7,"9,748",7.4
17,LIKONI,Male,"115,784","39,336 34.0","49,230 42.5","16,522 14.3","9,784 8.5",897,0.8,15,"39,336",34.0,"49,230",42.5,"16,522",14.3,"9,784",8.5
20,MVITA,Male,"66,589","23,515 35.3","27,476 41.3","8,307 12.5","6,515 9.8",736,1.1,40,"23,515",35.3,"27,476",41.3,"8,307",12.5,"6,515",9.8
23,NYALI,Male,"99,637","33,001 33.1","46,124 46.3","13,656 13.7","5,806 5.8","1,026",1,24,"33,001",33.1,"46,124",46.3,"13,656",13.7,"5,806",5.8
26,KWALE,Male,"382,538","171,696 44.9","83,012 21.7","49,352 12.9","75,281 19.7","3,108",0.8,89,"171,696",44.9,"83,012",21.7,"49,352",12.9,"75,281",19.7
29,KINANGO,Male,"40,445","20,011 49.5","5,412 13.4","5,040 12.5","9,783 24.2",192,0.5,7,"20,011",49.5,"5,412",13.4,"5,040",12.5,"9,783",24.2
32,LUNGA LUNGA,Male,"87,893","39,663 45.1","12,198 13.9","12,070 13.7","22,798 25.9","1,158",1.3,6,"39,663",45.1,"12,198",13.9,"12,070",13.7,"22,798",25.9
35,MATUGA,Male,"87,377","39,476 45.2","21,744 24.9","11,056 12.7","14,610 16.7",469,0.5,22,"39,476",45.2,"21,744",24.9,"11,056",12.7,"14,610",16.7
38,MSAMBWENI,Male,"80,181","30,868 38.5","28,037 35.0","11,099 13.8","9,381 11.7",777,1,19,"30,868",38.5,"28,037",35.0,"11,099",13.8,"9,381",11.7
41,SAMBURU,Male,"86,642","41,678 48.1","15,621 18.0","10,087 11.6","18,709 21.6",512,0.6,35,"41,678",48.1,"15,621",18.0,"10,087",11.6,"18,709",21.6
44,KILIFI,Male,"636,891","308,926 48.5","154,263 24.2","86,075 13.5","82,303 12.9","5,214",0.8,110,"308,926",48.5,"154,263",24.2,"86,075",13.5,"82,303",12.9
47,CHONYI,Male,"26,917","14,936 55.5","4,814 17.9","3,513 13.1","3,509 13.0",145,0.5,-,"14,936",55.5,"4,814",17.9,"3,513",13.1,"3,509",13.0
50,GANZE,Male,"60,552","34,222 56.5","7,843 13.0","6,804 11.2","11,272 18.6",391,0.6,20,"34,222",56.5,"7,843",13.0,"6,804",11.2,"11,272",18.6
53,KALOLENI,Male,"83,996","41,402 49.3","17,946 21.4","10,588 12.6","13,331 15.9",705,0.8,24,"41,402",49.3,"17,946",21.4,"10,588",12.6,"13,331",15.9
