,name,capital,code,sub_counties,sub_counties_lower,Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number,at_school_or_learning_institution_number,at_school_or_learning_institution_pct,after_completion_number,after_completion_pct,before_completion_number,before_completion_pct,never_been_to_school_or_learning_institution_number,never_been_to_school_or_learning_institution_pct,Unnamed: 0,male_Place_county_or_subcounty,male_total_and_gender,male_number,male_at_school_or_learning_institution_number_and_percent,male_after_completion_number_and_percent,male_before_completion_number_and_percent,male_never_been_to_school_or_learning_institution_number_and_percent,male_dont_know_number,male_dont_know_number_percent,male_not_stated_number,male_at_school_or_learning_institution_number,male_at_school_or_learning_institution_pct,male_after_completion_number,male_after_completion_pct,male_before_completion_number,male_before_completion_pct,male_never_been_to_school_or_learning_institution_number,male_never_been_to_school_or_learning_institution_pct,Unnamed: 19,female_male_Place_county_or_subcounty,female_male_total_and_gender,female_male_number,female_male_at_school_or_learning_institution_number_and_percent,female_male_after_completion_number_and_percent,female_male_before_completion_number_and_percent,female_male_never_been_to_school_or_learning_institution_number_and_percent,female_male_dont_know_number,female_male_dont_know_number_percent,female_male_not_stated_number,female_male_at_school_or_learning_institution_number,female_male_at_school_or_learning_institution_pct,female_male_after_completion_number,female_male_after_completion_pct,female_male_before_completion_number,female_male_before_completion_pct,female_male_never_been_to_school_or_learning_institution_number,female_male_never_been_to_school_or_learning_institution_pct,male_Place_county_or_subcounty_lower
431,Nyandarua and Nyeri,,,,,ABERDARE FOREST,ABERDARE FOREST,99,5 5.1,88 88.9,3 3.0,3 3.0,-,-,-,5,5.1,88,88.9,3,3,3,3,479,ABERDARE FOREST,Male,70,4 5.7,63 90.0,- -,3 4.3,-,-,-,4,5.7,63,90,-,-,3,4.3,479,ABERDARE FOREST,Male,70,4 5.7,63 90.0,- -,3 4.3,-,-,-,4,5.7,63,90,-,-,3,4.3,aberdare forest
432,Nyandarua and Nyeri,,,,,ABERDARE FOREST,ABERDARE FOREST,99,5 5.1,88 88.9,3 3.0,3 3.0,-,-,-,5,5.1,88,88.9,3,3,3,3,530,ABERDARE FOREST,Male,30,2 6.7,23 76.7,5 16.7,- -,-,-,-,2,6.7,23,76.7,5,16.7,-,-,530,ABERDARE FOREST,Male,30,2 6.7,23 76.7,5 16.7,- -,-,-,-,2,6.7,23,76.7,5,16.7,-,-,aberdare forest
433,Nyandarua and Nyeri,,,,,ABERDARE FOREST,ABERDARE FOREST,42,6 14.3,28 66.7,7 16.7,1 2.4,-,-,-,6,14.3,28,66.7,7,16.7,1,2.4,479,ABERDARE FOREST,Male,70,4 5.7,63 90.0,- -,3 4.3,-,-,-,4,5.7,63,90,-,-,3,4.3,479,ABERDARE FOREST,Male,70,4 5.7,63 90.0,- -,3 4.3,-,-,-,4,5.7,63,90,-,-,3,4.3,aberdare forest
434,Nyandarua and Nyeri,,,,,ABERDARE FOREST,ABERDARE FOREST,42,6 14.3,28 66.7,7 16.7,1 2.4,-,-,-,6,14.3,28,66.7,7,16.7,1,2.4,530,ABERDARE FOREST,Male,30,2 6.7,23 76.7,5 16.7,- -,-,-,-,2,6.7,23,76.7,5,16.7,-,-,530,ABERDARE FOREST,Male,30,2 6.7,23 76.7,5 16.7,- -,-,-,-,2,6.7,23,76.7,5,16.7,-,-,aberdare forest
426,Nyandarua and Nyeri,,,,,ABERDARE NATIONAL PARK,ABERDARE NATIONAL PARK,14,- -,14 100.0,- -,- -,-,-,-,-,-,14,100,-,-,-,-,446,ABERDARE NATIONAL PARK,Male,10,- -,10 100.0,- -,- -,-,-,-,-,-,10,100,-,-,-,-,446,ABERDARE NATIONAL PARK,Male,10,- -,10 100.0,- -,- -,-,-,-,-,-,10,100,-,-,-,-,aberdare national park
291,Uasin Gishu,Eldoret,27,Ainabkoi,ainabkoi,AINABKOI,AINABKOI,"127,533","57,988 45.5","41,597 32.6","17,693 13.9","9,538 7.5",706,0.6,11,"57,988",45.5,"41,597",32.6,"17,693",13.9,"9,538",7.5,650,AINABKOI,Male,"62,850","29,057 46.2","20,815 33.1","8,471 13.5","4,122 6.6",380,0.6,5,"29,057",46.2,"20,815",33.1,"8,471",13.5,"4,122",6.6,650,AINABKOI,Male,"62,850","29,057 46.2","20,815 33.1","8,471 13.5","4,122 6.6",380,0.6,5,"29,057",46.2,"20,815",33.1,"8,471",13.5,"4,122",6.6,ainabkoi
409,Machakos,Machakos,16,Athi River,athi river,ATHI RIVER,ATHI RIVER,"295,790","98,497 33.3","151,215 51.1","32,500 11.0","10,789 3.6","2,662",0.9,127,"98,497",33.3,"151,215",51.1,"32,500",11,"10,789",3.6,365,ATHI RIVER,Male,"150,511","49,337 32.8","78,486 52.1","15,929 10.6","5,253 3.5","1,441",1,65,"49,337",32.8,"78,486",52.1,"15,929",10.6,"5,253",3.5,365,ATHI RIVER,Male,"150,511","49,337 32.8","78,486 52.1","15,929 10.6","5,253 3.5","1,441",1,65,"49,337",32.8,"78,486",52.1,"15,929",10.6,"5,253",3.5,athi river
177,Migori,Migori,44,Awendo,awendo,AWENDO,AWENDO,"107,090","56,849 53.1","20,331 19.0","22,396 20.9","6,982 6.5",503,0.5,29,"56,849",53.1,"20,331",19,"22,396",20.9,"6,982",6.5,1067,AWENDO,Male,"51,345","29,012 56.5","10,532 20.5","8,958 17.4","2,527 4.9",303,0.6,13,"29,012",56.5,"10,532",20.5,"8,958",17.4,"2,527",4.9,1067,AWENDO,Male,"51,345","29,012 56.5","10,532 20.5","8,958 17.4","2,527 4.9",303,0.6,13,"29,012",56.5,"10,532",20.5,"8,958",17.4,"2,527",4.9,awendo
340,Garissa,Garissa,7,Balambala,balambala,BALAMBALA,BALAMBALA,"30,885","2,740 8.9",653 2.1,142 0.5,"26,934 87.2",416,1.3,-,"2,740",8.9,653,2.1,142,0.5,"26,934",87.2,113,BALAMBALA,Male,"19,392","1,692 8.7",585 3.0,114 0.6,"16,721 86.2",280,1.4,-,"1,692",8.7,585,3,114,0.6,"16,721",86.2,113,BALAMBALA,Male,"19,392","1,692 8.7",585 3.0,114 0.6,"16,721 86.2",280,1.4,-,"1,692",8.7,585,3,114,0.6,"16,721",86.2,balambala
347,Mandera,Mandera,9,Banisa,banisa,BANISA,BANISA,"135,664","20,564 15.2","1,603 1.2",536 0.4,"110,225 81.2","2,735",2,1,"20,564",15.2,"1,603",1.2,536,0.4,"110,225",81.2,167,BANISA,Male,"70,366","11,647 16.6","1,130 1.6",309 0.4,"55,978 79.6","1,302",1.9,-,"11,647",16.6,"1,130",1.6,309,0.4,"55,978",79.6,167,BANISA,Male,"70,366","11,647 16.6","1,130 1.6",309 0.4,"55,978 79.6","1,302",1.9,-,"11,647",16.6,"1,130",1.6,309,0.4,"55,978",79.6,banisa
