County_slash_Sub_County,Total,Conventional_and_Group_Quarters,Conventional,Group_Quarters,TenureStatus_ConventionalHouseholds_Owned_Number,Owned_pct_Rented_num_Rented_pct_Not_Stated_num,TenureStatus_ConventionalHouseholds_Owned_pct,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Number,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Pct,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Not_Stated_Number,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Not_Stated_Pct
MOMBASA,"378,422","376,295 2,127",,,"78,346","20.8 297,830 79.1 119",,,,,0
CHANGAMWE,"46,614","46,439 175",,,"4,531","9.8 41,903 90.2 5",,,,,0
JOMVU,"53,472","53,214 258",,,"14,021","26.3 39,185 73.6 8",,,,,0
KISAUNI,"88,202","88,159 43",,,"25,407","28.8 62,711 71.1 41",,,,,0
LIKONI,"81,191","80,002 1,189",,,"17,401","21.8 62,586 78.2 15",,,,,0
MVITA,"38,995","38,710 285",,,"6,516","16.8 32,172 83.1 22",,,,,0.1
NYALI,"69,948","69,771 177",,,"10,470","15.0 59,273 85.0 28",,,,,0
KWALE,"173,176","172,802 374",,,"133,135","77.0 39,612 22.9 55",,,,,0
KINANGO,"16,043","16,041 2",,,"14,679","91.5 1,359 8.5 3",,,,,0
LUNGALUNGA,"37,366","37,276 90",,,"33,298","89.3 3,973 10.7 5",,,,,0
MATUGA,"39,231","39,124 107",,,"32,740","83.7 6,374 16.3 10",,,,,0
MSAMBWENI,"45,466","45,374 92",,,"23,263","51.3 22,098 48.7 13",,,,,0
SAMBURU,"35,070","34,987 83",,,"29,155","83.3 5,808 16.6 24",,,,,0.1
KILIFI,"298,472","297,990 482",,,"199,451","66.9 98,466 33.0 73",,,,,0
CHONYI,"11,421","11,416 5",,,"11,098",97.2 318 2.8 -,,,,,-
GANZE,"23,258","23,197 61",,,"21,647","93.3 1,538 6.6 12",,,,,0.1
KALOLENI,"36,355","36,344 11",,,"27,636","76.0 8,693 23.9 15",,,,,0
KAUMA,"3,479","3,479 -",,,"3,311",95.2 168 4.8 -,,,,,-
KILIFI NORTH,"39,512","39,508 4",,,"23,143","58.6 16,361 41.4 4",,,,,0
KILIFI SOUTH,"53,074","53,011 63",,,"23,385","44.1 29,620 55.9 6",,,,,0
MAGARINI,"33,017","32,978 39",,,"28,655","86.9 4,314 13.1 9",,,,,0
MALINDI,"73,547","73,317 230",,,"41,731","56.9 31,563 43.1 23",,,,,0
RABAI,"24,809","24,740 69",,,"18,845","76.2 5,891 23.8 4",,,,,0
TANA RIVER,"68,242","66,984 1,258",,,"52,564","78.5 14,383 21.5 37",,,,,0.1
TANA DELTA,"22,791","22,395 396",,,"19,641","87.7 2,744 12.3 10",,,,,0
TANA NORTH,"26,886","26,119 767",,,"18,245","69.9 7,865 30.1 9",,,,,0
TANA RIVER,"18,565","18,470 95",,,"14,678","79.5 3,774 20.4 18",,,,,0.1
LAMU,"37,963","34,231 3,732",,,"23,238","67.9 10,981 32.1 12",,,,,0
LAMU EAST,"5,090","4,476 614",,,"3,289","73.5 1,187 26.5 -",,,,,-
LAMU WEST,"32,873","29,755 3,118",,,"19,949","67.0 9,794 32.9 12",,,,,0
TAITA/TAVETA,"96,429","94,468 1,961",,,"62,688","66.4 31,754 33.6 26",,,,,0
MWATATE,"23,698","23,184 514",,,"16,932","73.0 6,248 26.9 4",,,,,0
TAITA,"15,094","14,985 109",,,"12,467","83.2 2,517 16.8 1",,,,,0
TAVETA,"24,115","23,417 698",,,"15,358","65.6 8,053 34.4 6",,,,,0
VOI,"33,522","32,882 640",,,"17,931","54.5 14,936 45.4 15",,,,,0
GARISSA,"141,394","138,940 2,454",,,"121,453","87.4 17,450 12.6 37",,,,,0
BALAMBALA,"4,337","3,986 351",,,"3,915",98.2 71 1.8 -,,,,,-
DADAAB,"35,793","35,169 624",,,"33,111","94.1 2,048 5.8 10",,,,,0
FAFI,"23,671","23,351 320",,,"22,297","95.5 1,047 4.5 7",,,,,0
GARISSA,"30,518","29,790 728",,,"17,884","60.0 11,892 39.9 14",,,,,0
HULUGHO,"20,254","20,078 176",,,"19,759",98.4 318 1.6 1,,,,,0
IJARA,"18,481","18,296 185",,,"16,577","90.6 1,714 9.4 5",,,,,0
LAGDERA,"8,340","8,270 70",,,"7,910",95.6 360 4.4 -,,,,,-
WAJIR,"127,932","126,878 1,054",,,"120,367","94.9 6,503 5.1 8",,,,,0
BUNA,"6,480","6,480 -",,,"6,327",97.6 153 2.4 -,,,,,-
ELDAS,"13,961","13,862 99",,,"13,711",98.9 151 1.1 -,,,,,-
HABASWEIN,"31,292","31,113 179",,,"29,816","95.8 1,293 4.2 4",,,,,0
TARBAJ,"9,309","9,241 68",,,"9,139",98.9 102 1.1 -,,,,,-
WAJIR EAST,"18,674","18,282 392",,,"14,995","82.0 3,285 18.0 2",,,,,0
WAJIR NORTH,"10,490","10,478 12",,,"9,855",94.1 623 5.9 -,,,,,-
WAJIR SOUTH,"21,364","21,149 215",,,"20,796",98.3 351 1.7 2,,,,,0
WAJIR WEST,"16,362","16,273 89",,,"15,728",96.7 545 3.3 -,,,,,-
MANDERA,"125,763","123,954 1,809",,,"114,521","92.4 9,410 7.6 23",,,,,0
MANDERA WEST,"14,274","14,201 73",,,"13,481",94.9 718 5.1 2,,,,,0
BANISA,"24,285","24,000 285",,,"23,613",98.4 386 1.6 1,,,,,0
KOTULO,"9,446","9,342 104",,,"9,017",96.5 325 3.5 -,,,,,-
LAFEY,"11,597","11,380 217",,,"11,066",97.2 314 2.8 -,,,,,-
MANDERA CENTRAL,"21,140","20,795 345",,,"19,324","92.9 1,451 7.0 20",,,,,0.1
