County_slash_Sub_County,internet_population_above3_Total_Male_Female,internet_population_above3_Total,internet_population_above3_Male,internet_population_above3_Female,Use_of_Internet_Total,Use_of_Internet_pct,Use_of_Internet_Male_pct,Use_of_Internet_Male,Use_of_Internet_pct,Use_of_Internet_Female,Use_of_Internet_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total,pct_male_pct_female_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female_pct
MOMBASA,"1,100,173 552,476 547,681",,,,"431,327",39.2,"232,526 42.1",,,"198,792",36.3,"184,713","16.8 104,805 19.0 79,904",,,,,14.6
CHANGAMWE,"121,334 63,184 58,150",,,,"48,368",39.9,"27,252 43.1",,,"21,116",36.3,"18,986","15.6 11,455 18.1 7,531",,,,,13
JOMVU,"149,699 75,931 73,765",,,,"48,246",32.2,"27,583 36.3",,,"20,662",28,"19,386","12.9 11,739 15.5 7,646",,,,,10.4
KISAUNI,"263,742 131,351 132,388",,,,"93,781",35.6,"50,503 38.4",,,"43,275",32.7,"40,374","15.3 22,737 17.3 17,636",,,,,13.3
LIKONI,"228,472 115,784 112,685",,,,"75,298",33,"43,018 37.2",,,"32,279",28.6,"27,252","11.9 16,461 14.2 10,791",,,,,9.6
MVITA,"138,927 66,589 72,336",,,,"76,664",55.2,"37,260 56.0",,,"39,404",54.5,"35,671","25.7 18,957 28.5 16,714",,,,,23.1
NYALI,"197,999 99,637 98,357",,,,"88,970",44.9,"46,910 47.1",,,"42,056",42.8,"43,044","21.7 23,456 23.5 19,586",,,,,19.9
KWALE,"783,189 382,538 400,636",,,,"97,240",12.4,"57,487 15.0",,,"39,749",9.9,"35,746","4.6 21,196 5.5 14,547",,,,,3.6
KINANGO,"84,534 40,445 44,088",,,,"5,279",6.2,"3,195 7.9",,,"2,084",4.7,"2,240","2.6 1,372 3.4 868",,,,,2
LUNGALUNGA,"180,056 87,893 92,161",,,,"12,948",7.2,"8,218 9.4",,,"4,730",5.1,"4,324","2.4 2,715 3.1 1,609",,,,,1.7
MATUGA,"177,675 87,377 90,296",,,,"23,507",13.2,"13,660 15.6",,,"9,847",10.9,"7,769","4.4 4,609 5.3 3,160",,,,,3.5
MSAMBWENI,"159,936 80,181 79,752",,,,"40,774",25.5,"23,161 28.9",,,"17,610",22.1,"16,176","10.1 9,245 11.5 6,928",,,,,8.7
SAMBURU SUBCOUNTY,"180,988 86,642 94,339",,,,"14,732",8.1,"9,253 10.7",,,"5,478",5.8,"5,237","2.9 3,255 3.8 1,982",,,,,2.1
KILIFI,"1,323,664 636,891 686,754",,,,"200,190",15.1,"118,420 18.6",,,"81,770",11.9,"87,064","6.6 50,667 8.0 36,397",,,,,5.3
CHONYI,"57,246 26,917 30,328",,,,"3,965",6.9,"2,642 9.8",,,"1,323",4.4,"1,419",2.5 916 3.4 503,,,,,1.7
GANZE,"131,101 60,552 70,546",,,,"8,884",6.8,"5,497 9.1",,,"3,387",4.8,"4,319","3.3 2,597 4.3 1,722",,,,,2.4
KALOLENI,"176,734 83,996 92,733",,,,"20,300",11.5,"12,198 14.5",,,"8,102",8.7,"9,086","5.1 5,455 6.5 3,631",,,,,3.9
KAUMA,"20,821 10,054 10,767",,,,"1,289",6.2,846 8.4,,,443,4.1,462,2.2 293 2.9 169,,,,,1.6
KILIFI NORTH,"162,990 78,763 84,225",,,,"32,694",20.1,"19,053 24.2",,,"13,641",16.2,"16,090","9.9 9,274 11.8 6,816",,,,,8.1
KILIFI SOUTH,"187,663 91,863 95,799",,,,"41,751",22.2,"23,511 25.6",,,"18,240",19,"17,051","9.1 9,659 10.5 7,392",,,,,7.7
MAGARINI,"174,553 84,429 90,124",,,,"14,916",8.5,"9,722 11.5",,,"5,194",5.8,"6,580","3.8 4,032 4.8 2,548",,,,,2.8
MALINDI,"301,205 146,545 154,653",,,,"62,682",20.8,"36,360 24.8",,,"26,322",17,"26,991","9.0 15,364 10.5 11,627",,,,,7.5
RABAI,"111,351 53,772 57,579",,,,"13,709",12.3,"8,591 16.0",,,"5,118",8.9,"5,066","4.5 3,077 5.7 1,989",,,,,3.5
TANA RIVER,"284,605 142,087 142,516",,,,"25,256",8.9,"16,523 11.6",,,"8,733",6.1,"8,985","3.2 5,689 4.0 3,296",,,,,2.3
TANA DELTA,"99,792 50,066 49,726",,,,"8,398",8.4,"5,557 11.1",,,"2,841",5.7,"3,055","3.1 1,945 3.9 1,110",,,,,2.2
TANA NORTH,"105,495 53,199 52,294",,,,"8,825",8.4,"5,795 10.9",,,"3,030",5.8,"2,153","2.0 1,359 2.6 794",,,,,1.5
TANA RIVER SUBCOUNTY,"79,318 38,822 40,496",,,,"8,033",10.1,"5,171 13.3",,,"2,862",7.1,"3,777","4.8 2,385 6.1 1,392",,,,,3.4
LAMU,"130,991 69,111 61,877",,,,"25,473",19.4,"16,171 23.4",,,"9,301",15,"8,101","6.2 5,276 7.6 2,825",,,,,4.6
