County_slash_Sub_County,lighting_Conventional_Households,lighting_Mains_Electricity,lighting_Paraffin_Pressure_lamp,lighting_Paraffin_Lantern,lighting_Paraffin_Tin_Lamp,lighting_Gas_Lamp,lighting_Wood,lighting_Solar_and_Solar_Torch_and_Battery_Torch,lighting_Solar,lighting_Torch_slash_Spotlight_Solar_Charged,lighting_Torch_slash_Spotlight_Dry_cells,lighting_Candle,lighting_Battery_Car_Slash_Charged,lighting_Generator_Diesel_slash_Petrol),lighting_Biogas,lighting_Not_Stated
MOMBASA,"376,295",85.9,0.5,2.7,6.3,0.1,0,1.5 0.4 0.3,,,,2.2,0.1,0,0,0
CHANGAMWE,"46,439",87.7,0.4,3.1,3.6,0,0,0.9 0.6 0.4,,,,3.2,0.1,0,0,0
JOMVU,"53,214",81,0.4,3.7,9.5,0.1,0.1,2.1 0.6 0.3,,,,2.1,0.1,-,0,0
KISAUNI,"88,159",82.8,0.4,2.9,7.9,0.1,0.1,3.1 0.4 0.2,,,,1.9,0.1,0,0,0
LIKONI,"80,002",87.2,0.7,2.4,6.4,0.1,0,1.0 0.3 0.2,,,,1.7,0.1,-,0,0
MVITA,"38,710",91.1,0.2,1.1,3.8,0.1,0,0.5 0.3 0.4,,,,2.5,0.1,-,-,0.1
NYALI,"69,771",87.9,0.4,2.8,4.8,0.1,0,0.8 0.5 0.3,,,,2.3,0.1,0,-,0
KWALE,"172,802",31.5,0.5,6,29.5,0.2,1.7,22.8 2.7 3.9,,,,0.9,0.2,0,0,0
KINANGO,"16,041",8.5,0.6,5,28.1,0.1,3.2,36.4 6.2 11.1,,,,0.5,0.1,-,-,0
LUNGALUNGA,"37,276",14.9,0.6,5.9,35.6,0.1,3.8,28.0 2.9 7.2,,,,0.7,0.2,0,0,0
MATUGA,"39,124",31.2,0.5,7.9,32.6,0.1,0.4,22.9 2.5 1.1,,,,0.8,0.2,0,-,0
MSAMBWENI,"45,374",61.8,0.5,3.8,20.1,0.2,0.1,10.2 0.8 0.7,,,,1.4,0.2,0.1,-,0
SAMBURU SUBCOUNTY,"34,987",20.9,0.5,7.2,32.4,0.2,2.1,27.4 3.4 4.5,,,,0.8,0.4,0,-,0.1
KILIFI,"297,990",38.5,0.6,6.1,26.7,0.1,1.3,20.0 2.4 2.9,,,,1.2,0.2,0,0,0
CHONYI,"11,416",14.2,1.6,7.1,56.5,0.1,0.3,18.9 1.1 0.1,,,,0,0.1,-,-,-
GANZE,"23,197",5.5,0.4,3.4,24.7,0.1,6,38.5 5.4 15.3,,,,0.5,0.3,0,0,0.1
KALOLENI,"36,344",31.8,0.5,6.9,32.9,0.1,1.4,21.0 1.9 2.5,,,,0.7,0.2,0,0,0
KAUMA,"3,479",6.6,0.1,4.1,45.8,0.3,2.5,33.8 4.1 2.4,,,,0.1,0.1,-,-,-
KILIFI NORTH,"39,508",45,0.4,6.3,22,0.1,0.1,20.7 2.2 1.4,,,,1.4,0.4,0,-,0
KILIFI SOUTH,"53,011",59.9,0.7,5.5,22,0.1,0.2,8.7 1.1 0.3,,,,1.3,0.2,0,0,0
MAGARINI,"32,978",13.9,0.5,7.8,31.7,0.1,3.1,32.2 4.9 4.7,,,,1.1,0.2,0,0,0
MALINDI,"73,317",50.4,0.6,5.9,18.4,0.2,1,17.1 2.3 2.2,,,,1.7,0.1,0.1,0,0
RABAI,"24,740",35.8,0.8,7.1,38.3,0.1,0.1,14.7 1.3 0.2,,,,1.2,0.3,-,0,0
TANA RIVER,"66,984",25.6,0.2,2.4,7.1,0.5,6.8,20.9 12.1 21.7,,,,2.3,0.3,0.1,0,0.1
TANA DELTA,"22,395",17,0.2,2.7,10.1,0.4,5.6,35.7 15.4 10.8,,,,1.8,0.2,0,0,0
TANA NORTH,"26,119",29.3,0.2,1.7,2.2,0.6,7,11.9 10.7 32.7,,,,3.2,0.3,0.2,-,0
TANA RIVER SUBCOUNTY,"18,470",30.7,0.3,3.2,10.3,0.6,7.7,15.7 10.0 19.4,,,,1.6,0.4,0,0,0.1
LAMU,"34,231",43.2,0.2,3.6,7.2,0.1,1.4,28.3 5.8 8.3,,,,1.4,0.2,0.2,0,0
LAMU EAST,"4,476",59.5,0,2,3.5,0.2,0.8,27.4 2.2 3.7,,,,0.6,0.1,-,-,-
LAMU WEST,"29,755",40.7,0.2,3.9,7.8,0.1,1.5,28.5 6.4 9.0,,,,1.5,0.2,0.2,0,0
TAITA/TAVETA,"94,468",47.6,0.3,10.7,9.6,0,0.2,24.4 2.8 2.8,,,,1.2,0.1,0,0,0
MWATATE,"23,184",40,0.4,11.7,10.9,0,0.1,28.3 3.9 3.6,,,,0.8,0.2,0,-,0
TAITA,"14,985",45.9,0.3,15.3,10.6,0.1,0.3,22.1 3.1 1.7,,,,0.5,0.1,-,0,0
TAVETA,"23,417",39.5,0.6,10.6,13.7,0,0.4,26.6 2.4 4.2,,,,1.7,0.2,0,-,0
VOI,"32,882",59.6,0.2,8,5.3,0,0.1,21.1 2.3 1.7,,,,1.6,0.1,0,-,0
GARISSA,"138,940",23.5,0.2,0.7,1.5,2.8,11.9,12.7 10.9 32.1,,,,1.4,0.2,2,0.1,0
BALAMBALA,"3,986",8.4,0.1,1.6,2.8,5.4,23.8,8.1 13.9 35.5,,,,0.4,0.1,-,-,-
DADAAB,"35,169",7.2,0.2,0.4,1.1,4.7,13.3,20.2 16.2 31.1,,,,1,0.4,4.1,0,0
FAFI,"23,351",10.2,0.5,0.5,1.3,2.3,13.2,15.8 14.2 34.9,,,,1.2,0.3,5.6,0,0
GARISSA SUBCOUNTY,"29,790",79.4,0.2,0.4,0.6,0.9,4.6,1.5 2.1 9.9,,,,0.3,0.1,0,0,0.1
HULUGHO,"20,078",0.5,0,1.1,1.2,1.2,11.8,5.7 12.7 63.7,,,,1.8,0.1,0,0,0
IJARA,"18,296",18.7,0.2,1.9,4.9,4.1,17,20.8 6.5 21.3,,,,4.1,0.1,0,0.3,0
LAGDERA,"8,270",3.4,0,0.1,0.2,2.2,11.8,13.3 14.7 53.7,,,,0.4,0.2,0,0,-
WAJIR,"126,878",14.1,0.1,0.6,0.9,2.8,15.4,11.6 11.2 42.2,,,,0.6,0.1,0.3,0,0
BUNA,"6,480",0.1,0,1.7,1.1,2.5,24,26.1 11.3 32.7,,,,0.2,0.1,0,0.1,-
ELDAS,"13,862",7.9,0.1,0.4,0.9,2.8,26.1,13.4 10.9 36.6,,,,0.7,0.2,0,0.1,-
HABASWEIN,"31,113",15.6,0.1,0.2,0.3,1.8,7.6,15.1 12.0 45.3,,,,0.6,0.1,1.3,0,0
TARBAJ,"9,241",1,0.4,0.7,0.7,3.5,35.8,7.7 10.0 39.7,,,,0.5,-,0,0,-
WAJIR EAST,"18,282",47.8,0.2,0.6,1.9,6.2,10.2,6.5 6.0 19.4,,,,1.1,0.1,0.1,0,0
WAJIR NORTH,"10,478",15.4,0.1,1.3,2.3,3.2,21.5,8.5 12.3 35.0,,,,0.4,0.1,0,0,-
WAJIR SOUTH,"21,149",1.4,0,0.6,0.2,1.9,11.6,9.0 13.6 61.0,,,,0.6,0,-,0,0
WAJIR WEST,"16,273",7.7,0.1,0.9,0.8,1.8,12.9,11.1 12.3 51.8,,,,0.4,0.2,0,-,-
MANDERA,"123,954",15.7,0.2,0.5,1,2.6,26.8,9.9 8.2 34.1,,,,0.8,0.1,0,0,0
MANDERA WEST,"14,201",7.2,0.3,1.3,1.7,2.8,32.8,12.8 10.6 29.7,,,,0.7,0.1,0,0,0
BANISA,"24,000",0.3,0.3,0.4,0.7,1.9,45.1,13.2 7.9 29.5,,,,0.6,0.1,0,0,0
KOTULO,"9,342",6.6,0.1,1.3,1,3.3,19.6,11.7 9.6 45.4,,,,1.1,0.2,0.1,-,-
LAFEY,"11,380",0.5,0,0.1,0.3,1.9,35.8,5.5 9.9 44.2,,,,1.5,0.1,0,-,-
MANDERA CENTRAL,"20,795",23.6,0.6,0.7,1.7,4.3,23.2,12.5 6.0 26.8,,,,0.3,0.1,0,0,0.1
MANDERA EAST,"25,206",46.4,0.2,0.2,1,3.1,8.6,5.9 6.2 27.3,,,,0.9,0.1,0,0,-
MANDERA NORTH,"19,030",5.4,0,0.2,0.6,1,25.7,7.8 9.9 48.4,,,,0.8,0.1,-,0,-
MARSABIT,"76,689",21.3,0.2,2.7,2.8,1.6,14.2,15.1 12.6 28.4,,,,0.9,0.1,0,0.1,0.1
LOIYANGALANI,"7,646",0.1,0.1,0.7,0.1,0.1,27.3,12.4 21.9 36.9,,,,0.2,0.2,-,-,-
MARSABIT CENTRAL,"15,658",50.4,0.3,5.4,4.9,0.8,4.8,20.9 7.7 2.9,,,,1.7,0.1,-,-,0
MARSABIT NORTH,"7,468",0.1,-,0,0.1,0.2,8.7,11.6 23.9 54.9,,,,0.3,0,0,0,-
MARSABIT SOUTH,"11,563",2,0.1,1,0.2,0,14.7,14.4 24.3 42.2,,,,0.8,0.1,0.1,0,0
MOYALE,"17,591",45.7,0.3,3.4,4.5,4.1,7.1,13.2 4.4 15.5,,,,1.3,0.1,0,0.4,0
NORTH HORR,"9,601",1.2,0,0,0.1,0.1,32,5.6 6.4 53.8,,,,0,0.1,0.2,-,0.4
SOLOLO,"7,162",0.5,0.2,5.9,7,4.3,19.7,27.5 11.2 22.2,,,,1.1,0.2,0,-,0
ISIOLO,"53,217",40.6,0.3,3.8,3.7,1.2,6.7,9.1 9.0 24.6,,,,0.7,0.2,0.1,0,0
GARBATULLA,"17,047",15,0.3,5.9,4,2.8,11.2,14.4 11.6 34.5,,,,0.2,0.2,0,0,0
ISIOLO SUBCOUNTY,"27,612",61.5,0.4,3.2,4.6,0.5,3.3,6.0 7.4 11.8,,,,1.2,0.2,0.1,0,0
