County_slash_Sub_County,mo_phone_population_above_3_Total_Male_Female,mo_phone_population_above_3_Total,mo_phone_population_above_3_Male,mo_phone_population_above_3_Female,mobile_phone_Total,mobile_phone_Total_pct,mobile_phone_Male_and_pct,mobile_phone_Male,mobile_phone_Male_pct,mobile_phone_Female,mobile_phone_Female_pct
MOMBASA,"1,100,173 552,476 547,681",,,,"679,402",61.8,"353,192 63.9",,,"326,200",59.6
CHANGAMWE,"121,334 63,184 58,150",,,,"79,248",65.3,"42,684 67.6",,,"36,564",62.9
JOMVU,"149,699 75,931 73,765",,,,"88,469",59.1,"46,928 61.8",,,"41,539",56.3
KISAUNI,"263,742 131,351 132,388",,,,"154,731",58.7,"80,185 61.0",,,"74,544",56.3
LIKONI,"228,472 115,784 112,685",,,,"134,590",58.9,"72,030 62.2",,,"62,559",55.5
MVITA,"138,927 66,589 72,336",,,,"92,190",66.4,"44,154 66.3",,,"48,036",66.4
NYALI,"197,999 99,637 98,357",,,,"130,174",65.7,"67,211 67.5",,,"62,958",64
KWALE,"783,189 382,538 400,636",,,,"287,765",36.7,"151,386 39.6",,,"136,374",34
KINANGO,"84,534 40,445 44,088",,,,"24,431",28.9,"12,455 30.8",,,"11,976",27.2
LUNGALUNGA,"180,056 87,893 92,161",,,,"54,913",30.5,"29,413 33.5",,,"25,500",27.7
MATUGA,"177,675 87,377 90,296",,,,"70,107",39.5,"36,575 41.9",,,"33,531",37.1
MSAMBWENI,"159,936 80,181 79,752",,,,"80,641",50.4,"42,969 53.6",,,"37,670",47.2
SAMBURU SUBCOUNTY,"180,988 86,642 94,339",,,,"57,673",31.9,"29,974 34.6",,,"27,697",29.4
KILIFI,"1,323,664 636,891 686,754",,,,"520,866",39.4,"268,321 42.1",,,"252,540",36.8
CHONYI,"57,246 26,917 30,328",,,,"17,874",31.2,"8,923 33.2",,,"8,951",29.5
GANZE,"131,101 60,552 70,546",,,,"39,293",30,"18,317 30.3",,,"20,976",29.7
KALOLENI,"176,734 83,996 92,733",,,,"62,072",35.1,"31,581 37.6",,,"30,491",32.9
KAUMA,"20,821 10,054 10,767",,,,"6,666",32,"3,492 34.7",,,"3,174",29.5
KILIFI NORTH,"162,990 78,763 84,225",,,,"72,985",44.8,"37,368 47.4",,,"35,617",42.3
KILIFI SOUTH,"187,663 91,863 95,799",,,,"90,113",48,"46,750 50.9",,,"43,362",45.3
MAGARINI,"174,553 84,429 90,124",,,,"53,914",30.9,"28,957 34.3",,,"24,957",27.7
MALINDI,"301,205 146,545 154,653",,,,"134,437",44.6,"69,612 47.5",,,"64,821",41.9
RABAI,"111,351 53,772 57,579",,,,"43,512",39.1,"23,321 43.4",,,"20,191",35.1
TANA RIVER,"284,605 142,087 142,516",,,,"90,043",31.6,"50,282 35.4",,,"39,761",27.9
TANA DELTA,"99,792 50,066 49,726",,,,"30,558",30.6,"17,206 34.4",,,"13,352",26.9
TANA NORTH,"105,495 53,199 52,294",,,,"34,954",33.1,"19,076 35.9",,,"15,878",30.4
TANA RIVER SUBCOUNTY,"79,318 38,822 40,496",,,,"24,531",30.9,"14,000 36.1",,,"10,531",26
LAMU,"130,991 69,111 61,877",,,,"59,256",45.2,"33,849 49.0",,,"25,406",41.1
LAMU EAST,"20,637 10,805 9,832",,,,"7,913",38.3,"4,616 42.7",,,"3,297",33.5
LAMU WEST,"110,354 58,306 52,045",,,,"51,343",46.5,"29,233 50.1",,,"22,109",42.5
TAITA/TAVETA,"312,593 158,230 154,357",,,,"171,763",54.9,"88,074 55.7",,,"83,685",54.2
MWATATE,"76,078 38,672 37,404",,,,"41,998",55.2,"21,648 56.0",,,"20,350",54.4
TAITA,"52,345 26,495 25,850",,,,"29,374",56.1,"14,950 56.4",,,"14,424",55.8
TAVETA,"82,789 42,548 40,241",,,,"41,736",50.4,"21,994 51.7",,,"19,742",49.1
VOI,"101,381 50,515 50,862",,,,"58,655",57.9,"29,482 58.4",,,"29,169",57.3
GARISSA,"778,006 425,411 352,563",,,,"235,692",30.3,"125,700 29.5",,,"109,984",31.2
BALAMBALA,"30,885 19,392 11,492",,,,"7,045",22.8,"4,328 22.3",,,"2,717",23.6
DADAAB,"171,529 91,581 79,942",,,,"46,627",27.2,"24,379 26.6",,,"22,246",27.8
FAFI,"123,861 67,143 56,708",,,,"27,445",22.2,"14,751 22.0",,,"12,692",22.4
GARISSA SUBCOUNTY,"148,891 75,234 73,652",,,,"60,270",40.5,"29,841 39.7",,,"30,427",41.3
HULUGHO,"124,947 73,417 51,525",,,,"44,304",35.5,"25,250 34.4",,,"19,053",37
IJARA,"131,571 75,484 56,083",,,,"36,814",28,"20,397 27.0",,,"16,417",29.3
LAGDERA,"46,322 23,160 23,161",,,,"13,187",28.5,"6,754 29.2",,,"6,432",27.8
WAJIR,"711,571 379,557 331,969",,,,"198,693",27.9,"105,559 27.8",,,"93,128",28.1
BUNA,"44,083 23,847 20,234",,,,"9,894",22.4,"5,300 22.2",,,"4,594",22.7
ELDAS,"82,187 41,866 40,314",,,,"21,286",25.9,"11,302 27.0",,,"9,982",24.8
HABASWEIN,"158,790 86,244 72,531",,,,"55,778",35.1,"29,614 34.3",,,"26,164",36.1
TARBAJ,"50,653 24,262 26,386",,,,"9,359",18.5,"4,710 19.4",,,"4,649",17.6
WAJIR EAST,"101,247 54,136 47,109",,,,"33,610",33.2,"17,987 33.2",,,"15,622",33.2
WAJIR NORTH,"55,799 28,905 26,888",,,,"14,282",25.6,"7,446 25.8",,,"6,835",25.4
WAJIR SOUTH,"107,634 60,030 47,602",,,,"30,221",28.1,"16,533 27.5",,,"13,688",28.8
WAJIR WEST,"111,178 60,267 50,905",,,,"24,263",21.8,"12,667 21.0",,,"11,594",22.8
MANDERA,"775,085 391,182 383,873",,,,"196,119",25.3,"98,094 25.1",,,"98,018",25.5
MANDERA WEST,"86,713 42,666 44,045",,,,"18,341",21.2,"8,963 21.0",,,"9,378",21.3
BANISA,"135,664 70,366 65,291",,,,"27,866",20.5,"14,124 20.1",,,"13,741",21
KOTULO,"63,722 31,894 31,826",,,,"18,955",29.7,"9,601 30.1",,,"9,352",29.4
LAFEY,"74,593 36,424 38,164",,,,"19,447",26.1,"9,564 26.3",,,"9,883",25.9
MANDERA CENTRAL,"140,725 64,682 76,039",,,,"38,536",27.4,"18,360 28.4",,,"20,175",26.5
MANDERA EAST,"144,168 75,335 68,829",,,,"46,607",32.3,"23,984 31.8",,,"22,620",32.9
MANDERA NORTH,"129,500 69,815 59,679",,,,"26,367",20.4,"13,498 19.3",,,"12,869",21.6
MARSABIT,"409,629 215,220 194,392",,,,"118,593",29,"62,775 29.2",,,"55,815",28.7
LOIYANGALANI,"31,574 15,401 16,171",,,,"7,210",22.8,"3,531 22.9",,,"3,678",22.7
MARSABIT CENTRAL,"71,619 36,892 34,716",,,,"27,841",38.9,"14,913 40.4",,,"12,928",37.2
MARSABIT NORTH,"45,650 24,849 20,800",,,,"15,360",33.6,"8,352 33.6",,,"7,008",33.7
MARSABIT SOUTH,"59,493 30,146 29,347",,,,"14,936",25.1,"7,268 24.1",,,"7,668",26.1
MOYALE,"97,766 50,613 47,152",,,,"30,148",30.8,"15,904 31.4",,,"14,243",30.2
NORTH HORR,"62,863 35,980 26,881",,,,"14,025",22.3,"7,842 21.8",,,"6,182",23
SOLOLO,"40,664 21,339 19,325",,,,"9,073",22.3,"4,965 23.3",,,"4,108",21.3
ISIOLO,"245,462 128,141 117,317",,,,"93,772",38.2,"49,650 38.7",,,"44,122",37.6
GARBATULLA,"92,227 50,808 41,418",,,,"28,619",31,"15,983 31.5",,,"12,636",30.5
ISIOLO SUBCOUNTY,"110,631 55,148 55,483",,,,"51,064",46.2,"26,035 47.2",,,"25,029",45.1
MERTI,"42,604 22,185 20,416",,,,"14,089",33.1,"7,632 34.4",,,"6,457",31.6
MERU,"1,436,400 711,224 725,139",,,,"723,173",50.3,"364,131 51.2",,,"359,025",49.5
BUURI EAST,"71,784 35,691 36,093",,,,"42,922",59.8,"21,216 59.4",,,"21,706",60.1
BUURI WEST,"75,344 37,726 37,616",,,,"45,598",60.5,"22,927 60.8",,,"22,669",60.3
IGEMBE CENTRAL,"204,412 102,059 102,349",,,,"86,229",42.2,"45,004 44.1",,,"41,224",40.3
IGEMBE NORTH,"156,536 76,912 79,620",,,,"59,260",37.9,"30,937 40.2",,,"28,322",35.6
IGEMBE SOUTH,"149,522 74,030 75,484",,,,"68,964",46.1,"35,519 48.0",,,"33,443",44.3
IMENTI NORTH,"162,829 80,497 82,328",,,,"104,428",64.1,"51,268 63.7",,,"53,157",64.6
IMENTI SOUTH,"193,742 96,744 96,993",,,,"114,730",59.2,"57,067 59.0",,,"57,659",59.4
MERU CENTRAL,"125,670 62,757 62,910",,,,"71,605",57,"35,980 57.3",,,"35,623",56.6
TIGANIA CENTRAL,"97,405 48,073 49,332",,,,"39,876",40.9,"20,704 43.1",,,"19,172",38.9
TIGANIA EAST,"67,622 32,914 34,705",,,,"27,824",41.1,"13,628 41.4",,,"14,196",40.9
TIGANIA WEST,"130,798 63,209 67,585",,,,"61,200",46.8,"29,433 46.6",,,"31,765",47
MERU NATIONAL PARK,294 219 75,,,,251,85.4,197 90.0,,,54,72
MT. KENYA FOREST ,442 393 49,,,,286,64.7,251 63.9,,,35,71.4
THARAKA-NITHI,"367,574 180,692 186,875",,,,"188,394",51.3,"93,265 51.6",,,"95,125",50.9
IGAMBANG'OMBE,"49,368 24,367 25,000",,,,"23,138",46.9,"11,566 47.5",,,"11,571",46.3
MAARA,"108,517 54,491 54,026",,,,"62,921",58,"31,246 57.3",,,"31,675",58.6
MERU SOUTH,"85,236 41,988 43,246",,,,"51,994",61,"25,381 60.4",,,"26,612",61.5
THARAKA NORTH,"54,321 26,290 28,029",,,,"20,006",36.8,"10,344 39.3",,,"9,661",34.5
THARAKA SOUTH,"69,972 33,482 36,488",,,,"30,200",43.2,"14,668 43.8",,,"15,531",42.6
MT. KENYA FOREST,160 74 86,,,,135,84.4,60 81.1,,,75,87.2
EMBU,"568,228 283,024 285,182",,,,"323,700",57,"159,715 56.4",,,"163,970",57.5
EMBU EAST,"122,079 60,807 61,270",,,,"70,942",58.1,"34,622 56.9",,,"36,318",59.3
EMBU NORTH,"75,194 37,443 37,748",,,,"44,732",59.5,"21,931 58.6",,,"22,799",60.4
EMBU WEST,"116,797 57,297 59,491",,,,"76,974",65.9,"37,269 65.0",,,"39,697",66.7
MBEERE SOUTH,"152,697 77,699 74,993",,,,"80,789",52.9,"41,124 52.9",,,"39,662",52.9
