currently_attending_title,currently_attending_County_Sub_County,currently_attending_Total_astrsk,currently_attending_Pre_Primary,currently_attending_Primary,currently_attending_Secondary,currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,currently_attending_University,currently_attending_Adult_Basic_Education,currently_attending_Madrasa_slash_Duksi,currently_attending_Dont_Know,currently_attending_Not_Stated,highest_edu_title,highest_edu_County_slash_Sub_County,highest_edu_Total_astrsk,highest_edu_Pre_Primary,highest_edu_Primary,highest_edu_Secondary,highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,highest_edu_University,highest_edu_Adult_Basic_Education,highest_edu_Madrasa_slash_Duksi,highest_edu_None,highest_edu_Dont_Know,highest_edu_Not_Stated
MOMBASA,MOMBASA,"378,423","84,970","196,845","65,116","16,412","11,474",506,"2,147",953,-,MOMBASA,MOMBASA,"990,259","55,316","415,805","281,897","101,951","39,864",419,78,"88,138","5,034","1,757"
MOMBASA,Male,"189,490","42,759","97,844","32,911","7,808","6,370",250,"1,048",500,-,MOMBASA,Male,"507,180","27,062","204,322","153,058","51,168","23,574",203,36,"44,263","2,546",948
MOMBASA,Female,"188,930","42,211","98,999","32,205","8,604","5,103",256,"1,099",453,-,MOMBASA,Female,"483,066","28,254","211,476","128,837","50,782","16,287",216,42,"43,875","2,488",809
CHANGAMWE,CHANGAMWE,"39,032","8,735","20,347","6,754","1,848","1,181",36,41,90,-,CHANGAMWE,CHANGAMWE,"113,346","3,983","46,496","36,952","13,007","3,434",21,3,"8,913",367,170
CHANGAMWE,Male,"19,482","4,380","10,172","3,270",879,691,19,22,49,-,CHANGAMWE,Male,"59,561","2,038","23,169","20,311","7,084","2,158",12,2,"4,474",211,102
CHANGAMWE,Female,"19,550","4,355","10,175","3,484",969,490,17,19,41,-,CHANGAMWE,Female,"53,785","1,945","23,327","16,641","5,923","1,276",9,1,"4,439",156,68
JOMVU,JOMVU,"51,892","12,428","28,677","8,180","1,541",909,53,21,83,-,JOMVU,JOMVU,"135,585","8,507","59,788","38,086","12,322","3,483",48,3,"12,923",300,125
JOMVU,Male,"26,020","6,263","14,249","4,173",750,503,32,7,43,-,JOMVU,Male,"70,085","4,168","29,621","20,714","6,540","2,240",30,1,"6,515",184,72
JOMVU,Female,"25,872","6,165","14,428","4,007",791,406,21,14,40,-,JOMVU,Female,"65,497","4,339","30,165","17,372","5,781","1,243",18,2,"6,408",116,53
KISAUNI,KISAUNI,"95,844","22,174","51,183","15,499","3,884","2,611",109,122,262,-,KISAUNI,KISAUNI,"236,303","13,434","103,042","61,686","25,238","8,489",90,12,"22,877",941,494
KISAUNI,Male,"48,136","11,256","25,552","7,820","1,827","1,443",53,57,128,-,KISAUNI,Male,"120,288","6,613","50,944","32,834","12,401","5,102",41,5,"11,591",491,266
KISAUNI,Female,"47,707","10,918","25,631","7,679","2,057","1,167",56,65,134,-,KISAUNI,Female,"116,013","6,821","52,097","28,852","12,837","3,386",49,7,"11,286",450,228
LIKONI,LIKONI,"79,083","19,570","41,167","13,724","2,941","1,207",150,131,193,-,LIKONI,LIKONI,"203,522","13,600","90,935","58,372","15,612","3,843",137,20,"20,164",547,292
LIKONI,Male,"39,336","9,788","20,087","7,043","1,445",729,71,74,99,-,LIKONI,Male,"105,103","6,503","44,530","32,698","8,323","2,498",66,10,"10,041",293,141
LIKONI,Female,"39,746","9,782","21,079","6,681","1,496",478,79,57,94,-,LIKONI,Female,"98,417","7,097","46,404","25,673","7,289","1,345",71,10,"10,123",254,151
MVITA,MVITA,"46,714","7,850","22,009","9,265","2,935","2,764",84,"1,666",141,-,MVITA,MVITA,"119,741","4,434","44,619","35,004","14,936","9,442",66,32,"8,712","2,162",334
MVITA,Male,"23,515","3,922","11,064","4,775","1,381","1,450",41,806,76,-,MVITA,Male,"59,338","2,107","20,928","18,646","6,850","5,258",30,13,"4,320","1,001",185
MVITA,Female,"23,198","3,928","10,944","4,490","1,554","1,314",43,860,65,-,MVITA,Female,"60,402","2,327","23,690","16,358","8,086","4,184",36,19,"4,392","1,161",149
NYALI,NYALI,"65,858","14,213","33,462","11,694","3,263","2,802",74,166,184,-,NYALI,NYALI,"181,762","11,358","70,925","51,797","20,836","11,173",57,8,"14,549",717,342
NYALI,Male,"33,001","7,150","16,720","5,830","1,526","1,554",34,82,105,-,NYALI,Male,"92,805","5,633","35,130","27,855","9,970","6,318",24,5,"7,322",366,182
