"T","able 3: National Average Retail Prices of Selected Commodities","","","","","","",""
"","","","","","","","%",""
"","","Average","Average","Average","%","","",""
"","","","","","","","change",""
"","Unit of","Price","Price","Price","","Change","",""
"Commodity Name","","","","","","","","on same"
"","Measure","January","December","January","on last","","",""
"","","","","","","","month",""
"","","2016","2016","2017","month","","",""
"","","","","","","","","last year"
"Kale-Sukuma Wiki","1 Kg","36.75","45.7","48.74","","6.7","","32.6"
"Maize Flour - Sifted","2 Kg","106.15","115.18","119.64","","3.9","","12.7"
"Cabbages","1 Kg","47.75","67.1","71.58","","6.7","","49.9"
"Spinach","1 Kg","44.73","46.58","49.52","","6.3","","10.7"
"Fresh Packeted Milk","500 Ml","53.44","53.94","54.27","","0.6","","1.6"
"Beans","1 Kg","120.92","130.02","132.76","","2.1","","9.8"
"Onions","1 Kg","141.74","111.96","114.35","","2.1","","-19.3"
"Wheat Flour","2 Kg","130.81","130.24","131.86","","1.2","","0.8"
"Loose Maize Grain","1 Kg","41.08","45.78","46.41","","1.4","","13"
"Irish Potatoes","1 Kg","74.37","81.43","82.33","","1.1","","10.7"
"Mangoes","1 Kg","87.65","117.18","113.57","","-3.1","","29.6"
"Single Room","1 Room","3,969.80","4,070.28","4,092.70","","0.6","","3.1"
"Charcoal","4 Kg","78.82","79.2","79.64","","0.6","","1"
"Gas - (LPG)","13 Kg","2,343.86","1,983.06","1,989.87","","0.3","","-15.1"
"Kerosene","1 litre","47.11","64.52","64.41","","-0.1","","36.7"
"Electricity","50 KWh","534.3","558.9","559.19","","0.1","","4.7"
"Electricity","200 KWh","3,398.70","3,497.1","3,575.14","","2.2","","5.2"
"Petrol","1 litre","89.52","95.08","96.88","","1.9","","8.2"
"Diesel","1 litre","77.66","88.18","85.20","","-3.4","","9.7"
