County,equitable_share_2020_21,equitable_share_2021_22_plus,conditional_grant_2020_21,conditional_grant_2021_22_plus,annual_own_source_revenue_2020_21,annual_own_source_revenue_2021_22_plus,total_revenue_2020_21,total_revenue_2021_22_plus,number,county,number_of_schools,total_enrolment,average_school_size,place,population,land_area_km_sq,pop_density_per_km_sq,number_ptr,county_ptr,Enrolment,public_teachers,public_PTR,public_enrolment,private_teachers,private_PTR,overall_pri_ptr_no,overall_pri_ptr_county,overall_pri_ptr_enrolment,overall_pri_ptr_teachers,overall_pri_ptr_PTR,txtbk_no,txtbk_county,txtbk_grade_1,txtbk_grade_2,txtbk_grade_3,pupil_textbook_ratio,s_number_elec,county_elec,national_grid,solar,no_power,elec_table_total,complete_dig_SN,complete_dig_county,number_of_pri_schools_by_2016,number_of_schools_w_complete_digital_devices,pct_installed,detailed_digi_SN,detailed_digi_county,installed_learner_digi_devices,installed_learner_digi_devices,Installed_digi_content_server_and_wireless_routers,installed_projectors,installed_special_needs_edu_devices,nasmla_number,nasmla_county,mathematics_mean,mathematics_SE,english_mean,english_SE,kiswahili_mean,kiswahili_SE
Baringo,"5,095.65","6,369.39",752.87,681.62,205.2,258.55,"6,053.72","7,309.56",1,Baringo,841,"161,919",193,Baringo,"666,763","10,976.40",61,1,Baringo,"143,618","5,595",26,"18,301",883,21,1,Baringo,"161,919","6,478",25,1,Baringo,1.01,1.01,1.39,1.13,30,Baringo,566,183,51,800,1,Baringo,635,633,99.69,1,Baringo,"19,283","1,266",633,633,29,1,Baringo,500.5,56.9,499.3,65.1,493.6,61.7
Bomet,"5,507.10","6,691.10",832.35,806.48,183.01,300,"6,522.46","7,797.58",2,Bomet,968,"231,197",239,Bomet,"875,689","2,530.90",346,2,Bomet,"198,857","4,938",40,"32,340","2,792",12,2,Bomet,"231,197","7,730",30,2,Bomet,0.99,0.91,1,0.96,36,Bomet,666,1,24,691,2,Bomet,632,630,99.68,2,Bomet,"27,609","1,260",630,630,,2,Bomet,485.2,27.8,462.2,21.5,447.3,24.2
Bungoma,"8,893.65","10,659.44",876.59,696.07,395.12,500,"10,165.36","11,855.51",3,Bungoma,"1,115","500,157",449,Bungoma,"1,670,570","3,023.90",552,3,Bungoma,"449,148","8,996",50,"51,009","2,277",22,3,Bungoma,"500,157","11,273",44,3,Bungoma,0.89,0.89,0.9,0.89,39,Bungoma,749,15,23,787,3,Bungoma,741,741,100,3,Bungoma,"58,871","1,482",741,741,24,3,Bungoma,433.9,10.3,434.2,12.6,462.6,15.6
Busia,"6,013.50","7,172.16",845.88,600.43,322.56,499.8,"7,181.93","8,272.39",4,Busia,568,"250,860",442,Busia,"893,681","1,696.30",527,4,Busia,"231,765","4,949",47,"19,095",962,20,4,Busia,"250,860","5,911",42,4,Busia,0.82,0.89,0.84,0.85,40,Busia,440,4,1,445,4,Busia,432,431,99.77,4,Busia,"31,567",864,432,432,17,4,Busia,465.9,15.6,475.3,22.7,493.1,22.8
Elgeyo Marakwet,"3,861.30","4,606.53",735.21,855.35,69.08,166.1,"4,665.58","5,627.98",5,Elgeyo Marakwet,467,"123,818",265,Elgeyo/Marakwet,"454,480","3,032.00",150,5,Elgeyo Marakwet,"109,641","3,820",29,"14,177",784,18,5,Elgeyo Marakwet,"123,818","4,604",27,5,Elgeyo/Marakwet,0.99,1,1,1,28,Elgeyo/Marakwet,371,19,9,399,5,Elgeyo/Marakwet,369,369,100,5,Elgeyo/Marakwet,"13,964",738,369,369,,5,Elgeyo Marakwet,488.2,14.9,461,17.1,495,11.9
Embu,"4,304.40","5,125.24",998.06,607.12,375.33,900,"5,677.78","6,632.36",6,Embu,519,"124,774",240,Embu,"608,599","2,820.70",216,6,Embu,"101,425","3,694",27,"23,349","1,120",21,6,Embu,"124,774","4,814",26,6,Embu,0.5,0.5,0.5,0.5,14,Embu,370,11,0,381,6,Embu,381,381,100,6,Embu,"12,740",762,381,381,13,6,Embu,473.9,14.5,474.3,16.6,461.8,15.2
Garissa,"7,026.30","7,927.21","1,651.83","1,241.03",103.53,150,"8,781.65","9,318.24",7,Garissa,304,"77,465",255,Garissa,"841,353","44,736.00",19,7,Garissa,"51,895",926,56,"25,570",785,33,7,Garissa,"77,465","1,711",45,7,Garissa,0.98,1.01,1.01,1,7,Garissa,69,176,3,248,7,Garissa,163,153,93.87,7,Garissa,"7,762",306,153,153,16,7,Garissa,398.2,67.2,363.2,67.6,351.8,55.6
Homa Bay,"6,741.45","7,805.35",704.95,607.76,120.41,143.81,"7,566.81","8,556.93",8,Homa Bay,"1,042","313,666",301,Homa Bay,"1,131,950","3,152.50",359,8,Homa Bay,"279,599","7,226",39,"34,067","1,351",25,8,Homa Bay,"313,666","8,577",37,8,Homa Bay,1,1,1,1,43,Homa Bay,763,22,0,785,8,Homa Bay,875,875,100,8,Homa Bay,"34,758","1,752",875,875,,8,Homa Bay,495,23.3,515.3,14.9,473.2,6.1
Isiolo,"4,241.10","4,710.39",942.48,813.49,57.18,113.69,"5,240.76","5,637.57",9,Isiolo,163,"35,221",216,Isiolo,"268,002","25,350.60",11,9,Isiolo,"28,784","1,002",29,"6,437",290,22,9,Isiolo,"35,221","1,292",27,9,Isiolo,1.01,0.98,0.97,0.99,11,Isiolo,41,69,0,110,9,Isiolo,116,95,81.9,9,Isiolo,"4,048",190,95,95,4,9,Isiolo,525.9,24.1,537.4,30.6,547,24.6
Kajiado,"6,424.95","7,954.77",927.74,729.5,862.29,"1,605.36","8,214.97","10,289.63",10,Kajiado,792,"191,184",241,Kajiado,"1,117,840","21,871.10",51,10,Kajiado,"138,817","3,611",38,"52,367","2,821",19,10,Kajiado,"191,184","6,432",30,10,Kajiado,0.98,0.99,0.99,0.99,34,Kajiado,257,249,16,522,10,Kajiado,395,394,99.75,10,Kajiado,"15,956",788,394,394,,10,Kajiado,489.9,3.7,465.5,10.9,519.4,19
