number,county,mathematics_mean,mathematics_SE,english_mean,english_SE,kiswahili_mean,kiswahili_SE
1,Baringo,500.5,56.9,499.3,65.1,493.6,61.7
2,Bomet,485.2,27.8,462.2,21.5,447.3,24.2
3,Bungoma,433.9,10.3,434.2,12.6,462.6,15.6
4,Busia,465.9,15.6,475.3,22.7,493.1,22.8
5,Elgeyo Marakwet,488.2,14.9,461,17.1,495,11.9
6,Embu,473.9,14.5,474.3,16.6,461.8,15.2
7,Garissa,398.2,67.2,363.2,67.6,351.8,55.6
8,Homa Bay,495,23.3,515.3,14.9,473.2,6.1
9,Isiolo,525.9,24.1,537.4,30.6,547,24.6
10,Kajiado,489.9,3.7,465.5,10.9,519.4,19
11,Kakamega,469,18.1,485.1,20.9,503,13.8
12,Kericho,457.1,16.4,449.4,20.1,449.5,14.5
13,Kiambu,554.4,39.2,594.7,26,562,20
14,Kilifi,559.7,12.8,533.4,22.6,581.5,9.5
15,Kirinyaga,493.6,15.3,508.6,11.6,496.4,4.3
16,Kisii,478.8,18.7,455,16.4,473,22.4
17,Kisumu,464.8,24,484,27.4,459.6,28.6
18,Kitui,482.6,17.6,448.9,15.1,467.7,12.7
19,Kwale,520.3,22,508.6,31.7,564.6,24.1
20,Laikipia,484.3,27.8,482.5,26.9,491.7,32.3
21,Lamu,613,15.3,598.5,18.2,611,24.4
22,Machakos,532.8,23.2,532.8,24,521.5,13.6
23,Makueni,523.6,18.8,512.4,25.1,510.9,15.4
24,Mandera,473,22.6,454,8.8,455.7,24.1
25,Marsabit,512.7,34.2,479.7,9.4,481.9,7.8
26,Meru,478.9,20.1,466.7,20.6,467.7,19.7
27,Migori,447.3,25.4,465.8,26.1,449.2,27
28,Mombasa,595.9,37.9,616.5,44,585.7,7.6
29,Murang'a,528.6,26.4,515.1,22,503.6,26.5
30,Nairobi,632,22.4,661.3,23.5,588.3,19.1
31,Nakuru,515.5,17.8,532.1,24.2,528.9,16.2
32,Nandi,491.8,27.5,486.6,17.5,503.2,19.3
33,Narok,481.9,29,472.2,38.8,480.2,40.6
34,Nyamira,520.6,36.5,497.5,28.5,515.8,40.2
35,Nyandarua,540.6,10.6,552.4,19.1,536.7,18.2
36,Nyeri,515.7,47.2,546.8,55.6,516.4,40.4
37,Samburu,421.2,5.1,397.6,8,406,8.7
38,Siaya,431.8,17.8,458.5,18.1,429,22.4
39,Taita Taveta,488.4,16.6,499.2,19.4,544.4,22.9
40,Tana River,476.4,40.3,487.9,42.4,539.8,27.8
41,Tharaka Nithi,558.4,8.4,579.6,9.8,566.5,15
42,Trans Nzoia,486.6,33.3,480.3,32.9,498.7,22.9
43,Turkana,467.4,20.2,430.3,12.3,425.8,42
44,Uasin Gishu,527.1,28.1,524.6,33.3,537.6,23.8
45,Vihiga,531.4,31.6,558.6,31.9,552.2,36
46,Wajir,474.1,15.3,466.6,29.2,430.4,11.8
47,West Pokot,510.7,53.2,500.4,74.4,502.6,44.9
,National,500,24.6,498.1,25.9,499.7,22.9
