broad_commodity_grp,cpi_weight,change_vs_last_month,change_on_same_month_of_previous_year,month_year
Food and Non-Alcoholic Beverages,32.9094,0.2,12.8,January 2023
"Alcoholic Beverages, Tobacco and Narcotics",3.3289,1,8,January 2023
Clothing and Footwear,2.9914,0.1,3.2,January 2023
"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.3,7.3,January 2023
"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.2,9.3,January 2023
Health,2.9116,0.5,2.1,January 2023
Transport,9.6468,0,13.1,January 2023
Information and Communication,7.784,0.1,1.1,January 2023
"Recreation, Sport and Culture",1.7219,1,5.6,January 2023
Education Services,5.562,0.9,2.1,January 2023
Restaurants and Accommodation Services,8.0991,0.1,6.5,January 2023
Insurance and Financial Services,2.2423,0,1.3,January 2023
"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.5,7.5,January 2023
Total,100,0.2,9,January 2023
Food and Non-Alcoholic Beverages,32.91,1.07,8.89,January 2022
"Alcoholic Beverages, Tobacco and Narcotics",3.33,0.17,3.47,January 2022
Clothing and Footwear,2.99,-0.02,2.06,January 2022
"Housing, Water, Electricity, Gas and Other Fuels",14.61,-0.75,5.11,January 2022
"Furnishings, Household Equipment and Routine Household Maintenance",3.74,0.69,4.95,January 2022
Health,2.91,0.12,0.94,January 2022
Transport,9.65,-0.11,6.84,January 2022
Information and Communication,7.78,0.1,2.48,January 2022
"Recreation, Sport and Culture",1.72,0,0.68,January 2022
Education Services,5.56,0.02,1.02,January 2022
Restaurants and Accommodation Services,8.1,0.04,0.21,January 2022
Insurance and Financial Services,2.24,0.03,0.6,January 2022
"Personal Care, Social Protection and Miscellaneous Goods and Services",4.45,0.09,2.77,January 2022
Total,100,0.31,5.39,January 2022
Food and Non-Alcoholic Beverages,32.91,1.26,7.36,January 2021
"Alcoholic Beverages, Tobacco and Narcotics",3.33,-0.18,2.72,January 2021
Clothing and Footwear,2.99,0.02,2.26,January 2021
"Housing, Water, Electricity, Gas and Other Fuels",14.61,0.31,3.09,January 2021
"Furnishings, Household Equipment and Routine Household Maintenance",3.74,0.43,3.19,January 2021
Health,2.91,0.13,4.45,January 2021
Transport,9.65,1.07,14.24,January 2021
Information and Communication,7.78,-0.15,0.8,January 2021
"Recreation, Sport and Culture",1.72,0.41,2.91,January 2021
Education Services,5.56,0.28,1.86,January 2021
Restaurants and AccommodationServices,8.1,-0.02,5.36,January 2021
Insurance and Financial Services,2.24,0.32,1.45,January 2021
"Personal Care, Social Protection and Miscellaneous Goods and Services",4.45,0.15,2.03,January 2021
Total,100,0.63,5.69,January 2021
Food and Non-Alcoholic Beverages,36.04,0.39,9.6,January 2020
"Alcoholic Beverages, Tobacco and Narcotics",2.06,0.86,8.07,January 2020
Clothing and Footwear,7.43,0.36,1.78,January 2020
"Housing, Water, Electricity, Gas and other Fuels",18.3,0.45,2.66,January 2020
"Furnishings, Household Equipment and Routine Household Maintenance",6.16,0.04,1.09,January 2020
Health,3.13,0.35,1.19,January 2020
Transport,8.66,-0.04,4.16,January 2020
Communication,3.82,0,0.19,January 2020
Recreation and Culture,2.25,0.19,0.36,January 2020
Education,3.14,1.26,1.65,January 2020
Restaurant and Hotels,4.48,0.36,2.32,January 2020
Miscellaneous Goods and Services,4.52,0.06,1.34,January 2020
Total,100,0.31,5.78,January 2020
Food and Non-Alcoholic Beverages,36.04,0.78,1.62,January 2019
"Alcoholic Beverages, Tobacco and Narcotics",2.06,0.21,6.48,January 2019
Clothing and Footwear,7.43,0.1,2.8,January 2019
