"",,,,,Middle Level/ Technical,,,,,
"",,,,,,,Adult Basic,,,
County/ Sub-County,Total*,Pre-Primary,Primary,Secondary,and Vocational Training,University,,Madrasa/ Duksi,Don't Know,Not Stated
"",,,,,,,Education,,,
"",,,,,(TVET),,,,,
KENYA,"17,780,277","3,275,028","1 0,028,470","3,403,657","506,109","470,983","18,750","40,883","36,391",6
Rural,"12,922,659","2,353,558","7,616,724","2,442,836","254,299","192,767","14,970","23,832","23,670",3
Urban,"4,857,618","921,470","2,411,746","960,821","251,810","278,216","3,780","17,051","12,721",3
Male,"9,040,318","1,670,583","5,091,778","1,713,909","243,740","268,755","9,561","21,790","20,198",4
Female,"8,739,524","1,604,360","4,936,452","1,689,689","262,351","202,204","9,187","19,093","16,186",2
Intersex,435,85,240,59,18,24,2,-,7,-
MOMBASA,"378,423","84,970","196,845","65,116","16,412","11,474",506,"2,147",953,-
Male,"189,490","42,759","97,844","32,911","7,808","6,370",250,"1,048",500,-
Female,"188,930","42,211","98,999","32,205","8,604","5,103",256,"1,099",453,-
CHANGAMWE,"39,032","8,735","20,347","6,754","1,848","1,181",36,41,90,-
Male,"19,482","4,380","10,172","3,270",879,691,19,22,49,-
Female,"19,550","4,355","10,175","3,484",969,490,17,19,41,-
JOMVU,"51,892","12,428","28,677","8,180","1,541",909,53,21,83,-
Male,"26,020","6,263","14,249","4,173",750,503,32,7,43,-
Female,"25,872","6,165","14,428","4,007",791,406,21,14,40,-
KISAUNI,"95,844","22,174","51,183","15,499","3,884","2,611",109,122,262,-
Male,"48,136","11,256","25,552","7,820","1,827","1,443",53,57,128,-
Female,"47,707","10,918","25,631","7,679","2,057","1,167",56,65,134,-
LIKONI,"79,083","19,570","41,167","13,724","2,941","1,207",150,131,193,-
Male,"39,336","9,788","20,087","7,043","1,445",729,71,74,99,-
Female,"39,746","9,782","21,079","6,681","1,496",478,79,57,94,-
MVITA,"46,714","7,850","22,009","9,265","2,935","2,764",84,"1,666",141,-
Male,"23,515","3,922","11,064","4,775","1,381","1,450",41,806,76,-
Female,"23,198","3,928","10,944","4,490","1,554","1,314",43,860,65,-
NYALI,"65,858","14,213","33,462","11,694","3,263","2,802",74,166,184,-
Male,"33,001","7,150","16,720","5,830","1,526","1,554",34,82,105,-
Female,"32,857","7,063","16,742","5,864","1,737","1,248",40,84,79,-
KWALE,"334,612","82,822","207,769","36,756","4,107","1,936",355,355,512,-
Male,"171,696","42,535","106,020","19,415","1,883","1,195",185,185,278,-
Female,"162,911","40,285","101,747","17,340","2,224",741,170,170,234,-
KINANGO,"38,765","10,237","24,613","3,320",371,136,45,4,39,-
Male,"20,011","5,269","12,650","1,772",183,100,22,-,15,-
Female,"18,753","4,968","11,962","1,548",188,36,23,4,24,-
LUNGA LUNGA,"76,787","19,262","49,283","7,109",536,212,129,91,165,-
Male,"39,663","9,874","25,237","3,916",279,141,75,50,91,-
Female,"37,124","9,388","24,046","3,193",257,71,54,41,74,-
"",,,,,Middle Level/ Technical,,,,,
"",,,,,,,Adult Basic,,,
County/ Sub-County,Total*,Pre-Primary,Primary,Secondary,and Vocational Training,University,,Madrasa/ Duksi,Don't Know,Not Stated
"",,,,,,,Education,,,
"",,,,,(TVET),,,,,
MATUGA,"76,734","18,054","47,029","9,802","1,063",534,81,70,101,-
Male,"39,476","9,371","24,173","5,005",463,323,38,42,61,-
Female,"37,257","8,683","22,856","4,796",600,211,43,28,40,-
MSAMBWENI,"61,075","14,168","35,461","8,896","1,418",786,41,170,135,-
Male,"30,868","7,154","17,885","4,579",619,450,22,85,74,-
Female,"30,206","7,014","17,575","4,317",799,336,19,85,61,-
SAMBURU,"81,251","21,101","51,383","7,629",719,268,59,20,72,-
Male,"41,678","10,867","26,075","4,143",339,181,28,8,37,-
Female,"39,571","10,232","25,308","3,486",380,87,31,12,35,-
KILIFI,"605,776","132,702","373,857","83,181","8,537","5,166",843,455,"1,035",-
Male,"308,926","67,709","189,306","43,798","3,913","3,003",426,241,530,-
Female,"296,841","64,991","184,545","39,382","4,624","2,163",417,214,505,-
CHONYI,"28,875","6,082","18,035","4,326",251,107,44,-,30,-
Male,"14,936","3,144","9,219","2,328",128,72,27,-,18,-
Female,"13,938","2,938","8,815","1,998",123,35,17,-,12,-
GANZE,"67,193","14,694","43,773","7,789",489,210,155,1,82,-
Male,"34,222","7,461","22,188","4,059",250,149,80,1,34,-
Female,"32,969","7,233","21,583","3,730",239,61,75,-,48,-
KALOLENI,"80,964","17,657","51,727","9,803","1,026",426,126,28,171,-
Male,"41,402","9,080","26,262","5,160",486,254,58,14,88,-
Female,"39,559","8,575","25,464","4,643",540,172,68,14,83,-
KAUMA,"10,969","2,196","7,104","1,543",72,26,18,1,9,-
Male,"5,659","1,114","3,553",916,39,21,11,1,4,-
Female,"5,310","1,082","3,551",627,33,5,7,-,5,-
KILIFI NORTH,"72,834","17,073","41,645","10,609","1,693","1,607",34,49,124,-
Male,"36,930","8,728","20,935","5,542",723,891,19,27,65,-
Female,"35,902","8,345","20,709","5,066",970,716,15,22,59,-
KILIFI SOUTH,"76,984","17,932","44,868","11,404","1,519",979,87,19,176,-
Male,"39,007","9,231","22,518","5,918",672,526,37,12,93,-
Female,"37,977","8,701","22,350","5,486",847,453,50,7,83,-
MAGARINI,"86,722","17,604","56,983","10,939",620,239,182,68,87,-
Male,"44,425","8,886","28,769","6,070",322,176,102,50,50,-
Female,"42,297","8,718","28,214","4,869",298,63,80,18,37,-
MALINDI,"132,098","29,960","78,388","19,619","2,183","1,254",155,283,256,-
Male,"67,256","15,157","39,925","10,134",994,723,74,132,117,-
Female,"64,841","14,803","38,462","9,485","1,189",531,81,151,139,-
RABAI,"49,137","9,504","31,334","7,149",684,318,42,6,100,-
Male,"25,089","4,908","15,937","3,671",299,191,18,4,61,-
Female,"24,048","4,596","15,397","3,478",385,127,24,2,39,-
"",,,,,Middle Level/ Technical,,,,,
"",,,,,,,Adult Basic,,,
County/ Sub-County,Total*,Pre-Primary,Primary,Secondary,and Vocational Training,University,,Madrasa/ Duksi,Don't Know,Not Stated
"",,,,,,,Education,,,
"",,,,,(TVET),,,,,
TANA RIVER,"95,997","25,480","55,036","12,346","1,308",517,172,979,159,-
Male,"50,470","13,387","27,965","7,249",797,354,96,529,93,-
Female,"45,527","12,093","27,071","5,097",511,163,76,450,66,-
TANA DELTA,"38,308","10,395","22,155","4,821",365,161,31,339,41,-
