Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number
KENYA,KENYA,"43,739,906","17,780,277 40.7","11,568,544 26.4","6,854,538 15.7","7,120,542 16.3","406,887",0.9,"9,118"
KENYA,Male,"21,574,077","9,040,318 41.9","5,910,664 27.4","3,172,382 14.7","3,223,856 14.9","222,301",1,"4,556"
KENYA,Female,"22,164,531","8,739,524 39.4","5,657,565 25.5","3,681,910 16.6","3,896,417 17.6","184,558",0.8,"4,557"
KENYA,Intersex,"1,298",435 33.5,315 24.3,246 19.0,269 20.7,28,2.2,5
MOMBASA,MOMBASA,"1,100,173","378,423 34.4","457,603 41.6","153,982 14.0","101,097 9.2","8,817",0.8,251
MOMBASA,Male,"552,476","189,490 34.3","243,173 44.0","74,382 13.5","40,253 7.3","5,043",0.9,135
MOMBASA,Female,"547,681","188,930 34.5","214,424 39.2","79,596 14.5","60,843 11.1","3,772",0.7,116
CHANGAMWE,CHANGAMWE,"121,334","39,032 32.2","58,097 47.9","16,205 13.4","6,940 5.7","1,048",0.9,12
CHANGAMWE,Male,"63,184","19,482 30.8","31,918 50.5","8,157 12.9","2,976 4.7",647,1,4
CHANGAMWE,Female,"58,150","19,550 33.6","26,179 45.0","8,048 13.8","3,964 6.8",401,0.7,8
JOMVU,JOMVU,"149,699","51,892 34.7","64,235 42.9","19,430 13.0","13,416 9.0",698,0.5,28
JOMVU,Male,"75,931","26,020 34.3","34,362 45.3","9,689 12.8","5,424 7.1",422,0.6,14
JOMVU,Female,"73,765","25,872 35.1","29,872 40.5","9,739 13.2","7,992 10.8",276,0.4,14
KISAUNI,KISAUNI,"263,742","95,844 36.3","102,940 39.0","37,450 14.2","25,182 9.5","2,257",0.9,69
KISAUNI,Male,"131,351","48,136 36.6","54,063 41.2","18,051 13.7","9,748 7.4","1,315",1,38
KISAUNI,Female,"132,388","47,707 36.0","48,876 36.9","19,399 14.7","15,434 11.7",941,0.7,31
LIKONI,LIKONI,"228,472","79,083 34.6","90,079 39.4","34,337 15.0","23,434 10.3","1,516",0.7,23
LIKONI,Male,"115,784","39,336 34.0","49,230 42.5","16,522 14.3","9,784 8.5",897,0.8,15
LIKONI,Female,"112,685","39,746 35.3","40,849 36.3","17,814 15.8","13,650 12.1",618,0.5,8
MVITA,MVITA,"138,927","46,714 33.6","54,731 39.4","18,229 13.1","17,745 12.8","1,441",1,67
MVITA,Male,"66,589","23,515 35.3","27,476 41.3","8,307 12.5","6,515 9.8",736,1.1,40
MVITA,Female,"72,336","23,198 32.1","27,255 37.7","9,922 13.7","11,229 15.5",705,1,27
NYALI,NYALI,"197,999","65,858 33.3","87,521 44.2","28,331 14.3","14,380 7.3","1,857",0.9,52
NYALI,Male,"99,637","33,001 33.1","46,124 46.3","13,656 13.7","5,806 5.8","1,026",1,24
NYALI,Female,"98,357","32,857 33.4","41,393 42.1","14,674 14.9","8,574 8.7",831,0.8,28
KWALE,KWALE,"783,189","334,612 42.7","152,178 19.4","98,811 12.6","192,001 24.5","5,418",0.7,169
KWALE,Male,"382,538","171,696 44.9","83,012 21.7","49,352 12.9","75,281 19.7","3,108",0.8,89
KWALE,Female,"400,636","162,911 40.7","69,162 17.3","49,457 12.3","116,716 29.1","2,310",0.6,80
KINANGO,KINANGO,"84,534","38,765 45.9","9,817 11.6","9,969 11.8","25,594 30.3",372,0.4,17
KINANGO,Male,"40,445","20,011 49.5","5,412 13.4","5,040 12.5","9,783 24.2",192,0.5,7
KINANGO,Female,"44,088","18,753 42.5","4,405 10.0","4,929 11.2","15,811 35.9",180,0.4,10
LUNGA LUNGA,LUNGA LUNGA,"180,056","76,787 42.6","22,030 12.2","23,394 13.0","55,779 31.0","2,056",1.1,10
LUNGA LUNGA,Male,"87,893","39,663 45.1","12,198 13.9","12,070 13.7","22,798 25.9","1,158",1.3,6
LUNGA LUNGA,Female,"92,161","37,124 40.3","9,831 10.7","11,324 12.3","32,980 35.8",898,1,4
MATUGA,MATUGA,"177,675","76,734 43.2","40,378 22.7","22,561 12.7","37,190 20.9",771,0.4,41
