No.,County,Grade 1,Grade 2,Grade 3,Pupil Textbook Ratio (PTR)
1,Baringo,1.01,1.01,1.39,1.13
2,Bomet,0.99,0.91,1.00,0.96
3,Bungoma,0.89,0.89,0.90,0.89
4,Busia,0.82,0.89,0.84,0.85
5,Elgeyo/Marakwet,0.99,1.00,1.00,1.00
6,Embu,0.50,0.50,0.50,0.50
7,Garissa,0.98,1.01,1.01,1.00
8,Homa Bay,1.00,1.00,1.00,1.00
9,Isiolo,1.01,0.98,0.97,0.99
10,Kajiado,0.98,0.99,0.99,0.99
11,Kakamega,0.97,0.98,0.99,0.98
12,Kericho,0.96,0.97,0.97,0.97
13,Kiambu,0.94,0.98,0.96,0.96
14,Kilifi,0.93,0.94,0.96,0.94
15,Kirinyaga,0.91,0.91,0.92,0.91
16,Kisii,1.01,1.01,1.03,1.01
17,Kisumu,0.91,0.92,0.93,0.92
18,Kitui,0.98,0.98,0.98,0.98
19,Kwale,0.98,0.99,1.00,0.99
20,Laikipia,0.95,0.97,0.98,0.97
21,Lamu,0.99,0.97,0.99,0.98
22,Machakos,1.03,1.02,1.03,1.03
23,Makueni,0.98,0.98,0.99,0.98
24,Mandera,0.81,0.87,1.39,0.94
25,Marsabit,0.80,0.82,0.81,0.81
26,Meru,1.02,1.01,1.04,1.02
27,Migori,0.93,0.93,0.95,0.94
28,Mombasa,1.02,1.04,1.04,1.03
29,Murang'a,1.06,1.07,1.06,1.06
30,Nairobi,0.96,1.01,0.95,0.97
31,Nakuru,0.97,0.98,0.98,0.98
32,Nandi,0.82,0.82,0.82,0.82
33,Narok,0.93,0.94,0.92,0.93
34,Nyamira,0.95,0.97,0.96,0.96
35,Nyandarua,1.00,1.01,1.01,1.01
36,Nyeri,0.98,0.99,0.98,0.98
37,Samburu,0.99,0.99,0.99,0.99
38,Siaya,1.00,1.00,1.00,1.00
39,Taita/Taveta,1.00,1.00,1.00,1.00
40,Tana River,0.96,0.94,0.94,0.95
41,Tharaka-Nithi,1.00,0.99,0.98,0.99
42,Trans Nzoia,1.00,1.00,1.00,1.00
43,Turkana,1.01,1.02,1.03,1.02
44,Uasin Gishu,0.97,0.99,0.98,0.98
45,Vihiga,1.00,1.00,1.00,1.00
46,Wajir,0.95,1.42,1.21,1.18
47,West Pokot,1.05,1.04,1.07,1.05
"",Grand Total,0.96,0.97,0.99,0.97
